"","V1","V2","V3"
"EGP","2.66(2.05)","1.92(0.73)","2.56(1.32)"
"SRFLGP","0.2(0.19)","1.01(0.51)","0.5(0.35)"
"SKFLGP","0.14(0.05)","0.52(0.51)","0.31(0.14)"
"LRFLGP","0.41(0.25)","1(0.23)","0.77(0.28)"
"LKFLGP","0.21(0.16)","0.66(0.31)","0.61(0.33)"
