"","error rates","time","error rates","time"
"SRFLAG","19.1(3.7)",7.9,"14.2(1.3)",10.8
"SKFLAG","10.3(3)",24,"7.1(0.4)",27.3
"LRFLAG","20.9(4.2)",3.7,"15.8(1)",4.7
"LKFLAG","11.7(3.7)",19.3,"7.5(0.8)",21
