"","error rates","time","error rates","time"
"SRFLAG","19(2)",23.7,"14.4(1.2)",29
"SKFLAG","9.4(1)",37.4,"7.4(1)",43.9
"LRFLAG","20.6(2.9)",8.1,"16.6(1.2)",10
"LKFLAG","10.7(1.7)",23.7,"8.2(0.6)",25.6
