"","Train MSE","Test MSE","Time","Train MSE","Test MSE","Time","Train MSE","Test MSE","Time"
"RBF GP","0.072(0.044)","0.066(0.039)",97,"0.071(0.044)","0.064(0.037)",320,"0.069(0.043)","0.062(0.037)",777
"GLGP*","0.036(0.02)","0.04(0.021)",444,"0.037(0.021)","0.038(0.02)",512,"0.038(0.021)","0.037(0.02)",573
"FLGP","0.031(0.017)","0.033(0.018)",17,"0.032(0.018)","0.032(0.017)",21,"0.032(0.018)","0.031(0.017)",25
