"","V1","V2"
"EGP","0.67(0.01)","0.67(0.01)"
"GLGP","0.37(0.01)","0.29(0.01)"
"sparseGLGP","0.18(0.01)","0.13(0)"
"Nystrom extension","0.48(0.01)","0.39(0.01)"
"SRFLGP","0.47(0.03)","0.39(0.03)"
"SKFLGP","0.21(0.03)","0.15(0.01)"
"LRFLGP","0.58(0.02)","0.5(0.03)"
"LKFLGP","0.35(0.04)","0.27(0.03)"
