"","V1","V2"
"EGP",35.17,41.2
"KSVM",3.06,5.28
"Nystrom extension",589.14,620.35
"SRFLGP",117.19,155.09
"SKFLGP",123.06,255.03
"LRFLGP",17.45,36.13
"LKFLGP",19.77,34.22
