"","V1","V2"
"EGP",0.12,0.13
"KSVM",0.01,0.02
"GLGP",7.49,7.58
"sparseGLGP",5.67,6.11
"Nystrom extension",3.18,3.5
"SRFLGP",2.67,3.19
"SKFLGP",6.62,7.45
"LRFLGP",0.14,0.19
"LKFLGP",0.15,0.21
