"","V1","V2"
"EGP","0.67(0.01)","0.67(0.01)"
"Nystrom extension","0.4(0.02)","0.31(0.01)"
"SRFLGP","0.41(0.03)","0.35(0.02)"
"SKFLGP","0.19(0.01)","0.14(0.01)"
"LRFLGP","0.57(0.02)","0.51(0.02)"
"LKFLGP","0.26(0.04)","0.18(0.03)"
