"","V1","V2"
"EGP","0.68(0.01)","0.67(0.01)"
"GLGP","0.34(0.01)","0.26(0.01)"
"sparseGLGP","0.18(0)","0.13(0)"
"Nystrom extension","0.43(0.02)","0.34(0.01)"
"SRFLGP","0.4(0.02)","0.34(0.02)"
"SKFLGP","0.19(0)","0.13(0)"
"LRFLGP","0.57(0.03)","0.5(0.03)"
"LKFLGP","0.29(0.04)","0.21(0.02)"
