"","V1","V2"
"EGP",0.37,0.38
"KSVM",0.06,0.04
"GLGP",102.68,103.2
"sparseGLGP",18.33,18.36
"Nystrom extension",6.89,7.29
"SRFLGP",2.72,3.12
"SKFLGP",3.53,4.29
"LRFLGP",0.23,0.29
"LKFLGP",0.26,0.34
