"","V1","V2"
"EGP","45.9(2)","45(2.2)"
"KSVM","46(3)","46(1.6)"
"Nystrom extension","10.4(5.1)","3.7(2.4)"
"SRFLGP","10.7(5.5)","5(2.3)"
"SKFLGP","0.1(0.4)","0(0.1)"
"LRFLGP","28.3(3.6)","21.2(3.5)"
"LKFLGP","2.1(3)","0.4(1.2)"
