"","error rates","time","error rates","time","error rates","time","error rates","time"
"SRFLAG","24.6(1.4)",4.3,"17.8(0.9)",7.6,"23.7(3.7)",12.1,"18.6(1.5)",15.2
"SKFLAG","16.3(2.7)",4.9,"11.6(1.1)",8.6,"12.4(2)",21.6,"9.2(0.9)",26.6
"LRFLAG","27.1(1.4)",1,"20.7(1.3)",1.9,"27.3(4.8)",5.1,"21(1.6)",7
"LKFLAG","16.6(2.4)",1.4,"11.3(0.9)",2.3,"13.1(3.2)",16.5,"9.3(0.9)",15.7
