"","n = 7000"
"EGP",4.3
"KSVM",0.8
"GLGP",71.6
"sparseGLGP",26.1
"Nystrom extension",29.7
"SRFLGP",22.2
"SKFLGP",26.8
"LRFLGP",4.2
"LKFLGP",4.9
