"","n = 7000"
"EGP","26.2(2.9)"
"KSVM","20.3(2.5)"
"GLGP","26(3.1)"
"sparseGLGP","11.9(2.3)"
"Nystrom extension","22.6(2.1)"
"SRFLGP","14.3(2.3)"
"SKFLGP","10(2.3)"
"LRFLGP","15.7(2.5)"
"LKFLGP","9.9(2.1)"
