"","error rates","time","error rates","time"
"SRFLAG","17.2(2.8)",18.3,"12.3(1.4)",22.6
"SKFLAG","8.9(1.7)",37.5,"6.4(0.7)",42
"LRFLAG","19.3(2.4)",6.5,"13.7(1.1)",7.8
"LKFLAG","9(1.4)",25.9,"6.7(0.7)",27.6
