"","error rates","time","error rates","time","error rates","time","error rates","time"
"SRFLAG","20.9(4)",5.9,"14.4(1.4)",9.3,"19.3(2.2)",15.7,"14.4(1.3)",19.5
"SKFLAG","15.1(2.8)",8.7,"10.3(1.5)",12.7,"10.2(1.4)",32.1,"8.4(1.6)",35.3
"LRFLAG","23.3(2.9)",1.1,"16.6(1.5)",2.1,"23(2.3)",5.9,"17.1(1.6)",7.4
"LKFLAG","15.8(3.2)",1.9,"10.4(1.1)",2.9,"13(1.5)",21.1,"9.3(1.1)",23.6
