"","500","1000","2000","5000","10000","20000"
"2502_rbf","0.0225(0.0572)","0.0313(0.0323)","0.0667(0.1278)","0.0455(0.0366)","0.0516(0.0158)","0.0528(0.0173)"
"2502_lkflag","0.0156(0.0199)","0.0461(0.0708)","0.0831(0.1339)","0.0481(0.0398)","0.056(0.019)","0.0583(0.0165)"
"2601_rbf","0.0208(0.0125)","0.0323(0.0146)","0.0293(0.0093)","0.0273(0.0044)","0.0273(0.0037)","0.0264(0.0033)"
"2601_lkflag","0.0141(0.0081)","0.0212(0.0068)","0.0255(0.008)","0.0242(0.0034)","0.026(0.0032)","0.0248(0.002)"
"2602_rbf","0.0255(0.012)","0.0259(0.0133)","0.0226(0.0036)","0.0245(0.0072)","0.0246(0.0042)","0.0228(0.0028)"
"2602_lkflag","0.0089(0.0032)","0.0165(0.0043)","0.0175(0.0032)","0.0205(0.0056)","0.0201(0.0041)","0.0194(0.0029)"
"2611_rbf","0.0334(0.0261)","0.0273(0.0239)","0.0246(0.0157)","0.0312(0.0145)","0.0292(0.0095)","0.0291(0.0037)"
"2611_lkflag","0.0129(0.0106)","0.0212(0.0377)","0.0264(0.0204)","0.0284(0.0105)","0.0263(0.0087)","0.0275(0.0039)"
"2612_rbf","0.0551(0.0249)","0.0254(0.0205)","0.0251(0.0121)","0.0261(0.0115)","0.0237(0.0042)","0.0277(0.003)"
"2612_lkflag","0.0302(0.0516)","0.0214(0.01)","0.0215(0.0085)","0.0263(0.008)","0.0252(0.0049)","0.0282(0.0034)"
"2701_rbf","0.0437(0.0439)","0.0233(0.0159)","0.0368(0.0294)","0.0389(0.0174)","0.04(0.0082)","0.0403(0.0056)"
"2701_lkflag","0.0288(0.0397)","0.0159(0.0115)","0.0363(0.0268)","0.0348(0.0147)","0.0373(0.0106)","0.0367(0.0055)"
"2702_rbf","0.0337(0.0459)","0.0226(0.0188)","0.0489(0.0201)","0.0589(0.0211)","0.0588(0.0179)","0.0493(0.0047)"
"2702_lkflag","0.0252(0.0274)","0.0239(0.021)","0.0475(0.0193)","0.0546(0.0217)","0.0559(0.0176)","0.0455(0.0058)"
"3001_rbf","0.0588(0.0678)","0.0629(0.0244)","0.0698(0.0299)","0.0614(0.0135)","0.0618(0.0126)","0.0701(0.0085)"
"3001_lkflag","0.0335(0.0241)","0.0549(0.0376)","0.0508(0.0184)","0.0481(0.0105)","0.0486(0.0093)","0.0551(0.0089)"
"3002_rbf","0.0595(0.0372)","0.0524(0.0279)","0.0726(0.032)","0.0629(0.0076)","0.061(0.0081)","0.0596(0.0064)"
