"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0395(0.0033)","0.0454(8e-04)",5.5489,"0.0396(8e-04)","0.0439(4e-04)",9.5049,"0.0403(0.0018)","0.0427(3e-04)",18.6724,"0.0409(8e-04)","0.0415(1e-04)",55.1553,"0.0401(8e-04)","0.0408(2e-04)",146.4975,"0.0398(7e-04)","0.0402(2e-04)",388.7495
"LKFLAG","0.0221(0.0012)","0.0681(0.0058)",12.3874,"0.0292(0.0015)","0.0471(0.0011)",12.3978,"0.0329(0.0016)","0.0409(6e-04)",14.425,"0.0356(9e-04)","0.0381(2e-04)",16.6376,"0.0358(6e-04)","0.0374(2e-04)",13.3304,"0.0362(7e-04)","0.0369(1e-04)",16.4146
"Act RBF","0.2775(0.0364)","0.3259(0.0058)",0,"0.2874(0.0185)","0.3191(0.0049)",0,"0.291(0.0207)","0.3135(0.0042)",0,"0.2931(0.0097)","0.3042(0.0015)",0,"0.2909(0.0073)","0.2986(0.0029)",0,"0.291(0.0092)","0.2923(0.002)",0
"Act LK","0.1031(0.0262)","0.2743(0.0226)",0,"0.1655(0.0178)","0.2578(0.0077)",0,"0.1958(0.02)","0.2503(0.0066)",0,"0.2257(0.007)","0.2456(0.0035)",0,"0.2323(0.0049)","0.2448(0.0039)",0,"0.2409(0.0093)","0.244(0.003)",0
