"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0437(0.0038)","0.0501(8e-04)",5.4642,"0.0443(0.0038)","0.0479(4e-04)",9.3302,"0.0439(0.0015)","0.0461(4e-04)",18.5525,"0.0435(0.0016)","0.0444(3e-04)",55.3456,"0.042(9e-04)","0.0434(2e-04)",126.2597,"0.042(6e-04)","0.0424(2e-04)",347.6584
"LKFLAG","0.0223(0.0018)","0.0728(0.0052)",11.6132,"0.0304(0.0029)","0.0486(0.0016)",10.1592,"0.0343(0.0015)","0.0416(5e-04)",11.5419,"0.0367(0.0013)","0.0391(3e-04)",11.7595,"0.0361(5e-04)","0.0383(2e-04)",12.8485,"0.0372(6e-04)","0.0379(2e-04)",14.7557
"Act RBF","0.2761(0.0379)","0.3458(0.0267)",0,"0.3027(0.0273)","0.3318(0.0121)",0,"0.3059(0.0334)","0.3227(0.0109)",0,"0.2986(0.0195)","0.305(0.0078)",0,"0.2906(0.0117)","0.2983(0.0051)",0,"0.2849(0.0082)","0.2875(0.0045)",0
"Act LK","0.0864(0.0204)","0.28(0.0357)",0,"0.1525(0.0117)","0.2418(0.011)",0,"0.1934(0.0278)","0.2338(0.0095)",0,"0.2174(0.0117)","0.232(0.0078)",0,"0.2191(0.008)","0.231(0.0072)",0,"0.2232(0.0071)","0.2291(0.0041)",0
