"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0413(0.0043)","0.0452(8e-04)",5.3327,"0.0391(0.0026)","0.0438(3e-04)",9.3105,"0.0407(0.0019)","0.043(3e-04)",18.7235,"0.0404(0.001)","0.0417(2e-04)",52.3722,"0.0404(6e-04)","0.0409(1e-04)",120.0062,"0.0399(4e-04)","0.0404(1e-04)",332.8311
"LKFLAG","0.0235(0.0027)","0.0732(0.0078)",11.1859,"0.0295(0.002)","0.0465(0.001)",8.9727,"0.0333(0.0021)","0.0418(5e-04)",10.4618,"0.0357(0.001)","0.039(1e-04)",10.7024,"0.0369(5e-04)","0.0382(2e-04)",12.0003,"0.0369(3e-04)","0.0378(1e-04)",15.0924
"Act RBF","0.2953(0.0438)","0.3244(0.0112)",0,"0.2704(0.0147)","0.3153(0.0064)",0,"0.2878(0.0173)","0.3078(0.0048)",0,"0.2973(0.0122)","0.2989(0.0031)",0,"0.2891(0.0072)","0.2912(0.0025)",0,"0.2833(0.0058)","0.2857(0.0018)",0
"Act LK","0.1102(0.0319)","0.2918(0.0278)",0,"0.1592(0.0176)","0.2609(0.0134)",0,"0.1937(0.0192)","0.2488(0.0088)",0,"0.2314(0.0108)","0.2478(0.0049)",0,"0.2387(0.0063)","0.2458(0.0025)",0,"0.239(0.0058)","0.2441(0.0022)",0
