"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0488(0.0048)","0.0558(0.0009)",5.5813,"0.0496(0.0035)","0.0537(0.0006)",9.4505,"0.049(0.0023)","0.0518(0.0004)",18.7381,"0.0488(0.0015)","0.0499(0.0003)",54.2383,"0.0478(0.001)","0.0488(0.0002)",131.0378,"0.0475(0.0007)","0.0478(0.0002)",358.0856
"LKFLAG","0.0256(0.0029)","0.0812(0.0079)",11.8087,"0.0345(0.0025)","0.054(0.0018)",11.4192,"0.0384(0.0019)","0.0473(0.0006)",12.1078,"0.041(0.0012)","0.0444(0.0003)",12.5631,"0.0416(0.0009)","0.0435(0.0002)",13.1365,"0.0422(0.0006)","0.043(0.0002)",15.9765
"Act RBF","0.3511(0.062)","0.395(0.0146)",0,"0.3552(0.0441)","0.3824(0.0115)",0,"0.3518(0.0269)","0.3718(0.0082)",0,"0.3498(0.0178)","0.3558(0.0057)",0,"0.3394(0.0132)","0.3462(0.0048)",0,"0.3356(0.0096)","0.3365(0.0031)",0
"Act LK","0.1187(0.0369)","0.3238(0.0286)",0,"0.1876(0.0278)","0.2875(0.0152)",0,"0.2263(0.0241)","0.2786(0.0097)",0,"0.2536(0.0132)","0.2732(0.0057)",0,"0.2604(0.0107)","0.2724(0.0052)",0,"0.2676(0.0086)","0.2709(0.004)",0
