"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.031(0.002)","0.033(0.001)",1.31,"0.031(0.001)","0.032(0)",2.937,"0.029(0.001)","0.03(0)",10.656,"0.028(0.001)","0.029(0)",34.162
"Nystrom","0.018(0.001)","0.031(0.002)",58.038,"0.02(0.001)","0.026(0.001)",59.022,"0.022(0.001)","0.024(0)",63.628,"0.022(0)","0.023(0)",70.641
"LKFLAG","0.019(0.001)","0.029(0.001)",1.316,"0.02(0.001)","0.026(0.001)",1.491,"0.022(0.001)","0.024(0)",1.953,"0.022(0)","0.023(0)",2.675
"Act RBF","0.194(0.023)","0.212(0.008)",0,"0.196(0.022)","0.196(0.008)",0,"0.18(0.012)","0.176(0.005)",0,"0.168(0.005)","0.168(0.005)",0
"Act Nystrom","0.08(0.011)","0.116(0.009)",0,"0.088(0.005)","0.106(0.008)",0,"0.098(0.006)","0.104(0.005)",0,"0.101(0.003)","0.105(0.004)",0
"Act LK","0.09(0.013)","0.134(0.011)",0,"0.096(0.013)","0.116(0.009)",0,"0.109(0.008)","0.114(0.006)",0,"0.115(0.005)","0.117(0.005)",0
