"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.062(0.004)","0.068(0.002)",1.357,"0.06(0.003)","0.062(0.002)",2.931,"0.056(0.001)","0.057(0.001)",10.61,"0.052(0.001)","0.053(0.001)",35.207
"Nystrom","0.032(0.003)","0.055(0.005)",59.712,"0.036(0.001)","0.046(0.002)",62.276,"0.039(0)","0.043(0.001)",69.25,"0.039(0)","0.041(0.001)",82.655
"LKFLAG","0.031(0.003)","0.05(0.004)",1.4,"0.035(0.002)","0.043(0.001)",1.472,"0.037(0.001)","0.04(0.001)",1.981,"0.037(0.001)","0.039(0.001)",2.8
"Act RBF","0.344(0.066)","0.361(0.028)",0,"0.327(0.013)","0.327(0.03)",0,"0.294(0.015)","0.307(0.011)",0,"0.275(0.01)","0.279(0.011)",0
"Act Nystrom","0.134(0.032)","0.178(0.018)",0,"0.153(0.006)","0.167(0.01)",0,"0.162(0.008)","0.177(0.007)",0,"0.17(0.006)","0.174(0.007)",0
"Act LK","0.118(0.032)","0.171(0.02)",0,"0.137(0.015)","0.163(0.019)",0,"0.147(0.008)","0.161(0.006)",0,"0.155(0.008)","0.159(0.008)",0
