"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.027(0.002)","0.03(0.001)",1.328,"0.027(0.001)","0.028(0.001)",3.084,"0.025(0.001)","0.026(0.001)",10.831,"0.024(0.001)","0.025(0)",35.757
"Nystrom","0.014(0.001)","0.025(0.002)",61.463,"0.016(0.001)","0.021(0.001)",63.453,"0.017(0)","0.019(0)",69.025,"0.018(0)","0.019(0)",74.774
"LKFLAG","0.014(0.001)","0.023(0)",1.447,"0.017(0.001)","0.02(0)",1.599,"0.017(0.001)","0.019(0)",2.048,"0.018(0)","0.018(0)",3.388
"Act RBF","0.141(0.019)","0.15(0.007)",0,"0.128(0.013)","0.136(0.006)",0,"0.119(0.008)","0.123(0.004)",0,"0.115(0.005)","0.115(0.004)",0
"Act Nystrom","0.058(0.01)","0.08(0.008)",0,"0.063(0.005)","0.074(0.004)",0,"0.068(0.005)","0.074(0.003)",0,"0.072(0.003)","0.073(0.003)",0
"Act LK","0.051(0.008)","0.079(0.009)",0,"0.06(0.007)","0.073(0.003)",0,"0.065(0.006)","0.071(0.003)",0,"0.067(0.002)","0.069(0.003)",0
