"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.057(0.002)","0.061(0.002)",1.301,"0.055(0.003)","0.058(0.001)",2.922,"0.051(0.001)","0.053(0.001)",10.526,"0.051(0.001)","0.051(0.001)",34.913
"Nystrom","0.031(0.002)","0.052(0.002)",71.505,"0.035(0.002)","0.045(0.002)",72.302,"0.039(0)","0.043(0.001)",81.545,"0.039(0)","0.041(0.001)",93.022
"LKFLAG","0.03(0.001)","0.048(0.002)",1.33,"0.034(0.002)","0.042(0.001)",1.49,"0.035(0.001)","0.039(0.001)",2.015,"0.036(0.001)","0.038(0.001)",2.727
"Act RBF","0.333(0.033)","0.349(0.017)",0,"0.298(0.02)","0.33(0.018)",0,"0.277(0.012)","0.294(0.01)",0,"0.27(0.009)","0.267(0.008)",0
"Act Nystrom","0.12(0.021)","0.174(0.014)",0,"0.138(0.018)","0.173(0.019)",0,"0.173(0.008)","0.192(0.012)",0,"0.175(0.007)","0.174(0.01)",0
"Act LK","0.093(0.011)","0.156(0.012)",0,"0.121(0.013)","0.154(0.011)",0,"0.137(0.006)","0.152(0.009)",0,"0.14(0.009)","0.145(0.005)",0
