"","5000","10000","15000","20000","25000","30000"
"2001_rbf","0.0123(0.0017)","0.0116(0.0018)","0.0114(0.0016)","0.0106(0.0013)","0.0102(0.001)","0.0097(0.0011)"
"2001_lkflag","0.0034(0.001)","0.0062(7e-04)","0.007(8e-04)","0.0074(9e-04)","0.0076(9e-04)","0.0084(8e-04)"
"2002_rbf","0.009(0.002)","0.0087(0.0016)","0.0077(0.0018)","0.0078(9e-04)","0.0071(7e-04)","0.0066(6e-04)"
"2002_lkflag","0.0028(0.001)","0.0046(0.0011)","0.0058(0.001)","0.0069(9e-04)","0.0065(5e-04)","0.0065(7e-04)"
"2101_rbf","0.0148(0.0029)","0.0148(0.0022)","0.0151(0.0016)","0.0144(0.0017)","0.0139(0.0011)","0.0148(0.001)"
"2101_lkflag","0.0034(6e-04)","0.0062(7e-04)","0.0073(4e-04)","0.0078(9e-04)","0.0077(7e-04)","0.008(4e-04)"
"2102_rbf","0.0171(0.0045)","0.0158(0.0028)","0.0147(0.0015)","0.0146(0.0017)","0.0137(0.0011)","0.0135(9e-04)"
"2102_lkflag","0.003(0.001)","0.0063(9e-04)","0.0069(4e-04)","0.0072(5e-04)","0.0076(7e-04)","0.0077(7e-04)"
"2111_rbf","0.0126(0.0039)","0.0149(0.0036)","0.0133(0.0021)","0.014(0.0022)","0.0129(0.0023)","0.0128(0.0021)"
"2111_lkflag","0.0086(0.0049)","0.0135(0.0029)","0.0158(0.0022)","0.0172(0.003)","0.0158(0.0026)","0.0168(0.0026)"
"2112_rbf","0.0128(0.0066)","0.0133(0.0027)","0.0125(0.0016)","0.0124(0.0027)","0.0122(0.0021)","0.0126(7e-04)"
"2112_lkflag","0.0066(0.0023)","0.0105(0.0019)","0.0144(0.0026)","0.0141(0.0024)","0.0135(0.0015)","0.0145(0.0018)"
"2201_rbf","0.0151(0.0028)","0.0132(0.0019)","0.013(0.0011)","0.0109(6e-04)","0.0114(9e-04)","0.0117(7e-04)"
"2201_lkflag","0.004(0.0011)","0.007(0.0011)","0.0082(8e-04)","0.0081(8e-04)","0.0087(4e-04)","0.0093(5e-04)"
"2202_rbf","0.0205(0.0029)","0.0206(0.002)","0.02(0.0024)","0.0197(0.002)","0.0186(9e-04)","0.0189(0.0014)"
"2202_lkflag","0.0044(0.001)","0.0094(0.001)","0.0104(8e-04)","0.0114(0.001)","0.0111(6e-04)","0.0118(7e-04)"
"2211_rbf","0.0097(0.0039)","0.0079(0.0018)","0.0079(0.0019)","0.0077(8e-04)","0.0067(0.0022)","0.0063(0.001)"
"2211_lkflag","0.0036(0.0024)","0.0068(0.0018)","0.0119(0.0028)","0.0119(0.0022)","0.0107(0.0013)","0.012(0.0017)"
"2212_rbf","0.0075(0.0023)","0.0074(0.002)","0.0062(0.0011)","0.0068(0.0024)","0.0058(0.001)","0.0056(0.0012)"
"2212_lkflag","0.0032(7e-04)","0.0057(0.0018)","0.0067(0.0015)","0.0075(0.0017)","0.0076(0.0014)","0.007(0.0014)"
"2301_rbf","0.0091(0.0023)","0.0089(0.0022)","0.0092(0.0016)","0.0074(0.0017)","0.0067(0.0011)","0.0068(7e-04)"
"2301_lkflag","0.0044(0.002)","0.0077(0.002)","0.0102(0.0016)","0.0092(0.0018)","0.0092(9e-04)","0.0099(0.0013)"
"2302_rbf","0.0112(0.0042)","0.0096(0.0017)","0.0103(0.0023)","0.0097(0.0017)","0.0092(0.0012)","0.0082(8e-04)"
"2302_lkflag","0.0054(0.0023)","0.0091(0.0022)","0.0109(0.0024)","0.0116(9e-04)","0.0117(0.0014)","0.0116(7e-04)"
"2311_rbf","0.0104(0.0025)","0.0082(0.0015)","0.0073(9e-04)","0.0072(8e-04)","0.007(5e-04)","0.006(4e-04)"
"2311_lkflag","0.003(6e-04)","0.005(7e-04)","0.0057(7e-04)","0.0065(6e-04)","0.0066(5e-04)","0.0068(7e-04)"
"2312_rbf","0.0127(0.0036)","0.0102(0.0017)","0.0089(0.002)","0.0081(0.0015)","0.008(0.001)","0.0083(9e-04)"
"2312_lkflag","0.005(0.0014)","0.0076(0.0011)","0.0094(0.0014)","0.0087(0.001)","0.0095(0.0012)","0.0095(0.0013)"
"2321_rbf","0.0125(0.0019)","0.0126(0.0025)","0.0107(0.0015)","0.0119(0.0019)","0.0113(0.0013)","0.0111(0.0014)"
"2321_lkflag","0.0057(0.0013)","0.0102(0.0018)","0.0114(0.0012)","0.0129(0.0013)","0.0128(0.0016)","0.0125(0.0013)"
"2322_rbf","0.0107(0.0034)","0.0114(0.0022)","0.0105(0.0014)","0.0082(8e-04)","0.0082(0.0012)","0.0077(0.0013)"
"2322_lkflag","0.0036(0.0012)","0.0088(0.0015)","0.0112(0.0026)","0.01(0.0013)","0.0106(0.002)","0.0108(0.0016)"
