"","5000","10000","15000","20000","25000","30000"
"2001_rbf","0.0123(0.0041)","0.0113(0.0019)","0.01(0.001)","0.0091(7e-04)","0.0092(0.0013)","0.0094(0.0012)"
"2001_lkflag","0.0033(0.0012)","0.0064(0.0013)","0.0069(8e-04)","0.0068(5e-04)","0.0071(9e-04)","0.0084(0.0015)"
"2002_rbf","0.0075(0.0017)","0.0072(0.0011)","0.0063(6e-04)","0.006(7e-04)","0.0059(4e-04)","0.0056(4e-04)"
"2002_lkflag","0.0026(7e-04)","0.0045(7e-04)","0.0055(8e-04)","0.0053(5e-04)","0.0058(4e-04)","0.0059(6e-04)"
"2101_rbf","0.0155(0.0036)","0.0161(0.0012)","0.018(0.0015)","0.0173(0.0017)","0.0181(0.0011)","0.0171(6e-04)"
"2101_lkflag","0.0042(0.001)","0.0072(9e-04)","0.0089(7e-04)","0.0098(0.0013)","0.0103(5e-04)","0.0108(0.001)"
"2102_rbf","0.0289(0.0053)","0.0312(0.0043)","0.0325(0.003)","0.0305(0.0023)","0.03(0.0023)","0.0287(0.0021)"
"2102_lkflag","0.0074(0.0024)","0.0137(0.0019)","0.0159(0.0017)","0.0166(0.0018)","0.0182(0.0013)","0.0182(0.0014)"
"2111_rbf","0.0195(0.005)","0.0199(0.0062)","0.0175(0.0019)","0.0186(0.0024)","0.0164(0.0036)","0.0169(0.0033)"
"2111_lkflag","0.0112(0.0056)","0.018(0.0077)","0.0191(0.0024)","0.0227(0.0036)","0.0231(0.004)","0.0237(0.003)"
"2112_rbf","0.014(0.007)","0.0119(0.0021)","0.0126(0.0035)","0.013(0.0024)","0.0115(0.0017)","0.0124(0.0017)"
"2112_lkflag","0.0086(0.0056)","0.0152(0.0056)","0.0161(0.0037)","0.0181(0.0027)","0.0169(0.0028)","0.0182(0.0026)"
"2201_rbf","0.0298(0.0065)","0.0274(0.0032)","0.0273(0.0028)","0.0256(0.0023)","0.0265(0.0022)","0.0253(0.0021)"
"2201_lkflag","0.0061(0.0014)","0.0115(0.0014)","0.0136(9e-04)","0.0151(0.0012)","0.0147(0.0012)","0.0152(9e-04)"
"2202_rbf","0.0528(0.0064)","0.0493(0.0086)","0.0463(0.0065)","0.0451(0.0039)","0.0451(0.0032)","0.0425(0.0019)"
"2202_lkflag","0.0093(0.0011)","0.0191(0.0018)","0.0224(0.0024)","0.0224(0.0018)","0.0243(0.0014)","0.0245(0.0018)"
"2211_rbf","0.0093(0.0047)","0.0092(0.0032)","0.0092(0.0037)","0.0076(0.0023)","0.0083(0.0026)","0.008(0.0028)"
"2211_lkflag","0.004(0.0025)","0.0077(0.0022)","0.0112(0.0031)","0.0083(0.0023)","0.0111(0.0018)","0.0111(0.0018)"
"2212_rbf","0.0065(0.0029)","0.0072(0.0014)","0.0076(0.0018)","0.0066(0.0012)","0.0054(0.0016)","0.0052(0.0011)"
"2212_lkflag","0.0033(0.0029)","0.0067(0.0019)","0.0093(0.002)","0.0095(0.0013)","0.0098(0.0019)","0.0099(0.0012)"
"2301_rbf","0.0144(0.005)","0.0129(0.0039)","0.0114(0.0024)","0.0112(0.002)","0.0106(0.0026)","0.0091(0.002)"
"2301_lkflag","0.0057(0.0031)","0.0121(0.0038)","0.0157(0.0018)","0.0174(0.0031)","0.0177(0.0024)","0.0174(0.0025)"
"2302_rbf","0.0343(0.0119)","0.0249(0.0061)","0.026(0.0034)","0.0213(0.0038)","0.021(0.0028)","0.0184(0.0029)"
"2302_lkflag","0.0124(0.0069)","0.0241(0.0055)","0.0277(0.0052)","0.0286(0.0041)","0.0318(0.0042)","0.0312(0.0039)"
"2311_rbf","0.0163(0.0019)","0.0146(0.0026)","0.0149(0.0019)","0.0139(0.0015)","0.0126(0.0014)","0.0126(0.0012)"
"2311_lkflag","0.0055(0.0011)","0.0094(0.001)","0.0114(0.0011)","0.0127(0.0015)","0.0127(0.0012)","0.0126(0.0011)"
"2312_rbf","0.0342(0.0081)","0.0288(0.0081)","0.0312(0.0068)","0.0256(0.0044)","0.0242(0.0046)","0.0225(0.005)"
"2312_lkflag","0.011(0.0044)","0.0236(0.0059)","0.0285(0.0018)","0.028(0.0051)","0.0309(0.0043)","0.031(0.0027)"
"2321_rbf","0.0123(0.0039)","0.0118(0.0032)","0.0115(0.0015)","0.0123(0.0018)","0.0111(0.0015)","0.0103(0.0011)"
"2321_lkflag","0.0056(0.0026)","0.0108(0.003)","0.0126(0.0029)","0.0137(0.0018)","0.0136(0.001)","0.0128(0.0023)"
"2322_rbf","0.0093(0.0023)","0.0132(0.0034)","0.0135(0.0018)","0.0109(0.0023)","0.0116(0.0014)","0.0113(0.0025)"
"2322_lkflag","0.0045(0.0022)","0.0121(0.0029)","0.0153(0.0024)","0.015(0.002)","0.0165(0.002)","0.0168(0.0029)"
"2331_rbf","0.0081(0.004)","0.0063(0.0015)","0.0058(0.0012)","0.0053(7e-04)","0.0052(0.001)","0.0053(0.0013)"
"2331_lkflag","0.0028(0.0014)","0.0059(0.0013)","0.0069(0.0016)","0.0067(6e-04)","0.0073(0.0016)","0.0073(0.0014)"
"2332_rbf","0.0125(0.0041)","0.0101(0.0018)","0.0094(0.0018)","0.0085(0.0017)","0.0089(0.0014)","0.0077(0.0014)"
"2332_lkflag","0.0051(0.0035)","0.009(0.0031)","0.0114(0.0019)","0.0113(0.0018)","0.0125(0.0022)","0.0118(0.0014)"
"2401_rbf","0.0333(0.0077)","0.028(0.0045)","0.0258(0.0064)","0.0227(0.0044)","0.0238(0.0026)","0.0207(0.0023)"
"2401_lkflag","0.0072(0.0027)","0.015(0.0021)","0.0156(0.0029)","0.0178(0.0023)","0.0198(0.0028)","0.0199(0.0021)"
"2402_rbf","0.0237(0.0073)","0.0218(0.0033)","0.0194(0.002)","0.0183(0.0026)","0.0172(0.0017)","0.0164(9e-04)"
"2402_lkflag","0.0062(0.0024)","0.0129(0.0016)","0.0131(0.0017)","0.0151(0.0025)","0.0142(0.0014)","0.0146(0.0014)"
"2501_rbf","0.0119(0.0058)","0.0112(0.0036)","0.0107(0.0031)","0.0134(0.0037)","0.0092(0.0016)","0.0095(0.0029)"
"2501_lkflag","0.0079(0.008)","0.0177(0.0078)","0.0199(0.0057)","0.0241(0.0033)","0.0219(0.0052)","0.0225(0.0041)"
"2502_rbf","0.0172(0.0104)","0.0151(0.0078)","0.0168(0.0039)","0.0153(0.0051)","0.0133(0.006)","0.0108(0.004)"
"2502_lkflag","0.0141(0.0146)","0.0203(0.0104)","0.0246(0.0065)","0.0275(0.0058)","0.0273(0.0092)","0.0253(0.0051)"
"2601_rbf","0.0318(0.007)","0.0264(0.0056)","0.0291(0.0042)","0.027(0.0026)","0.0276(0.0035)","0.0269(0.0018)"
"2601_lkflag","0.0069(0.0017)","0.0128(0.0026)","0.0163(0.0022)","0.0156(0.0023)","0.0172(0.002)","0.0174(0.0012)"
"2602_rbf","0.036(0.0084)","0.0317(0.0063)","0.0256(0.0033)","0.0275(0.002)","0.0258(0.003)","0.0258(0.0026)"
"2602_lkflag","0.0078(0.004)","0.0161(0.0032)","0.0169(0.0022)","0.0209(0.0021)","0.019(0.0015)","0.0208(0.0017)"
"2611_rbf","0.0129(0.0061)","0.0094(0.0022)","0.0109(0.0018)","0.0095(0.0022)","0.0086(0.0018)","0.0089(0.0016)"
"2611_lkflag","0.0058(0.0033)","0.0097(0.0023)","0.0148(0.0029)","0.0142(0.0031)","0.0144(0.0021)","0.0157(0.001)"
"2612_rbf","0.0187(0.008)","0.0167(0.0028)","0.0164(0.0029)","0.0146(0.0019)","0.0154(0.0036)","0.0155(0.0022)"
"2612_lkflag","0.0079(0.0042)","0.0158(0.0035)","0.0206(0.005)","0.0186(0.0026)","0.0213(0.004)","0.0207(0.0031)"
"2701_rbf","0.0084(0.0063)","0.0098(0.0027)","0.0095(0.0026)","0.0086(0.0018)","0.0093(0.0018)","0.0083(0.0019)"
"2701_lkflag","0.0059(0.0037)","0.0098(0.0034)","0.0123(0.0024)","0.0115(0.002)","0.0126(0.0021)","0.0124(0.0019)"
"2702_rbf","0.0124(0.0043)","0.0114(0.0028)","0.0109(0.0019)","0.0109(0.002)","0.0092(0.0014)","0.0113(0.0018)"
"2702_lkflag","0.0062(0.0015)","0.0124(0.0025)","0.0136(0.004)","0.0149(0.0026)","0.0124(0.0016)","0.0167(0.0011)"
"3001_rbf","0.0234(0.0078)","0.0237(0.0048)","0.021(0.0029)","0.0222(0.0026)","0.021(0.002)","0.0198(0.0026)"
"3001_lkflag","0.0109(0.0033)","0.0174(0.0019)","0.0182(0.0038)","0.0214(0.0035)","0.0224(0.0023)","0.0227(0.0031)"
"3002_rbf","0.0289(0.0075)","0.0291(0.005)","0.0271(0.0032)","0.0266(0.0026)","0.0229(0.0019)","0.0234(0.0033)"
"3002_lkflag","0.0094(0.0033)","0.0214(0.0035)","0.0218(0.0044)","0.0247(0.0032)","0.0247(0.0036)","0.0258(0.0029)"
"4001_rbf","0.0206(0.0068)","0.0217(0.0029)","0.0209(0.0034)","0.0206(0.0028)","0.0195(0.0026)","0.0179(0.0024)"
"4001_lkflag","0.0102(0.0051)","0.0166(0.0036)","0.0185(0.0032)","0.0185(0.002)","0.0215(0.0022)","0.0214(0.0029)"
"4002_rbf","0.0222(0.009)","0.0214(0.0059)","0.0192(0.003)","0.02(0.0041)","0.0207(0.0035)","0.0179(0.0013)"
"4002_lkflag","0.0073(0.0021)","0.0188(0.0052)","0.0199(0.0034)","0.0217(0.0039)","0.0231(0.003)","0.0233(0.0033)"
"4011_rbf","0.017(0.003)","0.0165(0.0032)","0.0151(0.0016)","0.0157(0.0016)","0.016(0.0016)","0.0157(9e-04)"
"4011_lkflag","0.0075(0.0038)","0.0116(0.0018)","0.0124(0.0025)","0.0138(0.0024)","0.0155(0.0014)","0.0144(0.001)"
"4012_rbf","0.0318(0.0077)","0.0304(0.0044)","0.0272(0.0019)","0.029(0.0017)","0.0286(0.0019)","0.0289(0.0011)"
"4012_lkflag","0.0096(0.0049)","0.0159(0.0036)","0.0159(0.0024)","0.0182(0.0025)","0.02(0.0021)","0.0186(0.0021)"
"4021_rbf","0.0211(0.0063)","0.0144(0.0044)","0.015(0.0035)","0.0131(0.0039)","0.0114(0.0022)","0.0121(0.0023)"
"4021_lkflag","0.018(0.0111)","0.0195(0.0043)","0.0248(0.0048)","0.0247(0.0052)","0.028(0.0032)","0.0285(0.005)"
"4022_rbf","0.0175(0.0136)","0.021(0.0048)","0.0164(0.005)","0.0166(0.0037)","0.017(0.0038)","0.0132(0.0031)"
"4022_lkflag","0.0113(0.0111)","0.022(0.0064)","0.0293(0.0077)","0.0279(0.0122)","0.035(0.0084)","0.0323(0.0056)"
"4101_rbf","0.0128(0.0053)","0.0112(0.0022)","0.011(0.0022)","0.0125(0.0031)","0.0104(0.0014)","0.0111(0.0017)"
"4101_lkflag","0.0065(0.0029)","0.011(0.002)","0.0137(0.0021)","0.0156(0.003)","0.0147(0.0015)","0.0161(0.0022)"
"4102_rbf","0.0193(0.0099)","0.0159(0.0034)","0.0162(0.0049)","0.0137(0.0033)","0.0136(0.0024)","0.0139(0.0028)"
"4102_lkflag","0.0077(0.0032)","0.0132(0.002)","0.0158(0.0028)","0.0164(0.0017)","0.0177(0.0027)","0.0179(0.0021)"
"4111_rbf","0.0113(0.0055)","0.0121(0.004)","0.0128(0.0026)","0.0115(0.0025)","0.0102(0.002)","0.0124(0.0014)"
"4111_lkflag","0.007(0.0043)","0.0112(0.0024)","0.0137(0.0031)","0.0135(0.0031)","0.013(0.0017)","0.014(0.002)"
"4112_rbf","0.0171(0.0059)","0.0166(0.0034)","0.0167(0.0027)","0.0169(0.0023)","0.0173(0.0022)","0.0154(0.0014)"
"4112_lkflag","0.0074(0.0032)","0.0124(0.0022)","0.0143(0.0019)","0.0159(0.0024)","0.0172(0.0014)","0.0171(0.002)"
"4201_rbf","0.0095(0.005)","0.0119(0.0056)","0.0106(0.0024)","0.01(0.0042)","0.0099(0.0024)","0.007(0.0016)"
"4201_lkflag","0.0084(0.0093)","0.0184(0.0072)","0.0187(0.008)","0.0171(0.0031)","0.0225(0.0051)","0.018(0.0035)"
"4202_rbf","0.0098(0.0041)","0.0095(0.0037)","0.0086(0.0031)","0.0075(0.0026)","0.006(0.0016)","0.0065(0.0023)"
"4202_lkflag","0.007(0.0058)","0.0123(0.0095)","0.0144(0.0047)","0.0148(0.0041)","0.0138(0.0047)","0.0166(0.0026)"
"5001_rbf","0.0135(0.0037)","0.0124(0.0028)","0.0118(0.0019)","0.0109(0.0011)","0.0107(0.0017)","0.0105(0.001)"
"5001_lkflag","0.0042(0.0018)","0.007(0.0013)","0.009(7e-04)","0.0093(0.0013)","0.0092(0.0012)","0.0099(8e-04)"
"5002_rbf","0.008(0.0019)","0.0075(0.001)","0.0067(0.001)","0.007(7e-04)","0.0062(0.001)","0.0063(6e-04)"
"5002_lkflag","0.0032(9e-04)","0.0053(0.001)","0.0058(8e-04)","0.0069(5e-04)","0.0071(8e-04)","0.0071(7e-04)"
"5011_rbf","0.0122(0.0036)","0.011(0.0031)","0.011(0.0013)","0.0085(0.002)","0.0085(0.0012)","0.0085(0.0016)"
"5011_lkflag","0.0038(0.0014)","0.0084(0.0025)","0.0088(9e-04)","0.0102(0.0013)","0.0108(0.0016)","0.0113(0.0017)"
"5012_rbf","0.0069(0.0024)","0.0058(0.0013)","0.0059(8e-04)","0.0057(7e-04)","0.0053(6e-04)","0.005(8e-04)"
"5012_lkflag","0.0024(0.001)","0.0045(0.0017)","0.0056(8e-04)","0.0059(8e-04)","0.0059(6e-04)","0.006(9e-04)"
"5021_rbf","0.0085(0.002)","0.0095(0.0016)","0.0091(0.0015)","0.009(0.0013)","0.0087(0.0014)","0.0091(4e-04)"
"5021_lkflag","0.0029(6e-04)","0.0065(0.0013)","0.0075(0.001)","0.0083(8e-04)","0.0082(8e-04)","0.0089(7e-04)"
"5022_rbf","0.0143(0.0025)","0.0158(0.0038)","0.0165(0.002)","0.0148(0.0022)","0.0149(0.0018)","0.0145(0.0017)"
"5022_lkflag","0.0036(0.0014)","0.0075(0.0017)","0.0094(0.001)","0.0093(6e-04)","0.0101(0.0012)","0.01(0.0014)"
"5101_rbf","0.0052(0.002)","0.0058(0.001)","0.0043(0.001)","0.0047(9e-04)","0.004(5e-04)","0.0035(6e-04)"
"5101_lkflag","0.0014(5e-04)","0.0046(0.001)","0.0041(0.001)","0.0051(0.0012)","0.0049(7e-04)","0.0052(6e-04)"
"5102_rbf","0.0095(0.0027)","0.0065(0.0013)","0.0063(0.0012)","0.0054(8e-04)","0.0054(9e-04)","0.005(6e-04)"
"5102_lkflag","0.0031(0.001)","0.0049(6e-04)","0.0061(0.0012)","0.0059(7e-04)","0.0065(7e-04)","0.0069(7e-04)"
"5201_rbf","0.005(0.0012)","0.0045(7e-04)","0.0039(5e-04)","0.0041(5e-04)","0.0037(5e-04)","0.0038(4e-04)"
"5201_lkflag","0.0013(5e-04)","0.0023(4e-04)","0.0023(3e-04)","0.0028(2e-04)","0.0028(4e-04)","0.003(2e-04)"
