"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0157(4e-04)","0.0261(4e-04)",1.1534,"0.0145(4e-04)","0.0208(3e-04)",2.661,"0.0139(3e-04)","0.0185(3e-04)",3.5951,"0.0133(2e-04)","0.0168(2e-04)",11.1751,"0.013(2e-04)","0.0159(2e-04)",18.2666,"0.0125(2e-04)","0.015(1e-04)",42.2494
"LKFLAG","0.0048(2e-04)","0.096(0.0132)",0.0595,"0.0091(2e-04)","0.0257(0.0031)",0.1035,"0.0104(2e-04)","0.0184(0.0016)",0.223,"0.0112(2e-04)","0.017(0.0026)",0.4437,"0.0117(2e-04)","0.0155(3e-04)",0.1225,"0.0119(2e-04)","0.0161(0.0019)",0.858
"Act RBF","0.0914(0.0047)","0.1464(0.0049)",0,"0.0762(0.0026)","0.1085(0.0031)",0,"0.0727(0.0032)","0.0936(0.0049)",0,"0.0667(0.0022)","0.081(0.0023)",0,"0.0658(0.0028)","0.0775(0.0021)",0,"0.0613(0.0013)","0.0704(0.0012)",0
"Act LK","0.0147(0.0018)","0.1879(0.0775)",0,"0.0305(0.0019)","0.0693(0.0033)",0,"0.0366(0.0019)","0.0582(0.0018)",0,"0.0396(0.0016)","0.0538(0.0028)",0,"0.0427(0.002)","0.0538(0.0012)",0,"0.0431(0.0014)","0.0523(0.0015)",0
