"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0152(6e-04)","0.0257(4e-04)",1.2454,"0.0146(2e-04)","0.0211(2e-04)",2.4583,"0.014(2e-04)","0.0188(2e-04)",4.1171,"0.0136(3e-04)","0.0174(2e-04)",4.2018,"0.0133(3e-04)","0.0165(2e-04)",7.3351,"0.0129(2e-04)","0.0157(2e-04)",6.9825
"LKFLAG","0.0052(3e-04)","0.1205(0.0169)",0.0472,"0.0099(2e-04)","0.0298(0.0075)",0.0474,"0.0113(3e-04)","0.0192(6e-04)",0.0707,"0.0121(1e-04)","0.0179(0.0015)",0.0518,"0.0126(2e-04)","0.0167(3e-04)",0.0562,"0.0127(2e-04)","0.0162(2e-04)",0.056
"Act RBF","0.0709(0.0059)","0.123(0.0044)",0,"0.0622(0.0028)","0.0931(0.0036)",0,"0.0577(0.002)","0.0796(0.0023)",0,"0.0548(0.0014)","0.071(0.003)",0,"0.0526(0.0023)","0.0655(0.0024)",0,"0.0502(0.0021)","0.062(0.0022)",0
"Act LK","0.0143(0.0015)","0.2662(0.0909)",0,"0.032(0.002)","0.0962(0.0708)",0,"0.037(0.002)","0.062(0.0039)",0,"0.0411(0.001)","0.0577(0.0032)",0,"0.0431(0.0016)","0.0558(0.0023)",0,"0.0439(0.0017)","0.0556(0.0023)",0
