"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0138(4e-04)","0.0241(2e-04)",1.3042,"0.0132(3e-04)","0.0195(2e-04)",5.0925,"0.0126(2e-04)","0.0173(3e-04)",8.0936,"0.0123(2e-04)","0.0159(1e-04)",4.7076,"0.0119(2e-04)","0.0149(2e-04)",6.2947,"0.0116(1e-04)","0.0142(2e-04)",8.2862
"LKFLAG","0.0046(3e-04)","0.1031(0.0169)",0.158,"0.009(1e-04)","0.0271(0.0078)",0.2022,"0.0104(2e-04)","0.0178(0.0012)",0.0712,"0.0112(2e-04)","0.0161(3e-04)",0.0683,"0.0115(3e-04)","0.0153(2e-04)",0.0733,"0.0118(1e-04)","0.0148(1e-04)",0.0811
"Act RBF","0.0786(0.0043)","0.1421(0.0039)",0,"0.0723(0.0021)","0.11(0.0029)",0,"0.0671(0.0025)","0.0929(0.0036)",0,"0.0635(0.0037)","0.084(0.0021)",0,"0.0612(0.0017)","0.0759(0.0024)",0,"0.058(0.0019)","0.0706(0.0019)",0
"Act LK","0.0145(0.0011)","0.1883(0.0462)",0,"0.0325(9e-04)","0.0824(0.0317)",0,"0.0394(0.0022)","0.0642(0.0048)",0,"0.0436(0.0023)","0.0607(0.0015)",0,"0.0461(0.0026)","0.0591(0.0014)",0,"0.0472(0.0015)","0.0583(0.0013)",0
