"","5000","10000","15000","20000","25000","30000"
"2001_rbf","0.0087(0.0023)","0.0088(0.0017)","0.0088(0.001)","0.0076(0.0013)","0.0076(7e-04)","0.0078(8e-04)"
"2001_lkflag","0.0023(5e-04)","0.0044(4e-04)","0.0054(5e-04)","0.0059(6e-04)","0.0059(2e-04)","0.0061(5e-04)"
"2002_rbf","0.015(0.0044)","0.0131(0.0019)","0.0124(0.002)","0.0134(0.0022)","0.0122(0.0013)","0.0113(0.0019)"
"2002_lkflag","0.0044(0.0013)","0.0087(0.0014)","0.0093(0.0015)","0.0106(0.0015)","0.0106(0.0012)","0.0103(0.001)"
"2101_rbf","0.0267(0.0055)","0.0281(0.0035)","0.0246(0.0012)","0.0257(0.0021)","0.0251(0.001)","0.0253(0.0017)"
"2101_lkflag","0.0079(0.0019)","0.0146(0.0011)","0.0155(0.0017)","0.0171(0.0012)","0.0177(0.0017)","0.018(0.0015)"
"2102_rbf","0.027(0.0042)","0.026(0.0016)","0.0278(0.0019)","0.0274(0.0015)","0.027(0.0013)","0.0271(0.0013)"
"2102_lkflag","0.008(0.0021)","0.0153(0.0019)","0.0176(0.0013)","0.0182(9e-04)","0.019(0.0013)","0.0198(0.001)"
"2111_rbf","0.0809(0.0287)","0.0668(0.0201)","0.0626(0.0143)","0.0569(0.0147)","0.0531(0.0081)","0.0572(0.0107)"
"2111_lkflag","0.0485(0.0296)","0.0665(0.0209)","0.0809(0.02)","0.0857(0.0163)","0.0939(0.0144)","0.0979(0.0128)"
"2112_rbf","0.0622(0.0254)","0.0606(0.0216)","0.0664(0.0155)","0.0645(0.0141)","0.0572(0.0105)","0.0616(0.0081)"
"2112_lkflag","0.052(0.0623)","0.056(0.0114)","0.0665(0.0135)","0.0763(0.0161)","0.0711(0.0077)","0.0763(0.0078)"
"2201_rbf","0.0309(0.0055)","0.0307(0.003)","0.0298(0.0027)","0.0293(0.0028)","0.0299(0.0021)","0.0288(0.0017)"
"2201_lkflag","0.0078(0.0014)","0.0142(0.0016)","0.0164(0.0013)","0.0181(0.0014)","0.0184(0.0017)","0.0189(0.001)"
"2202_rbf","0.0353(0.0071)","0.0349(0.0066)","0.0332(0.0052)","0.0327(0.0029)","0.0299(0.0022)","0.03(0.0031)"
"2202_lkflag","0.0068(0.0016)","0.0125(0.0017)","0.0144(0.002)","0.0155(0.0018)","0.0167(0.0018)","0.0171(0.0013)"
"2211_rbf","0.0279(0.0112)","0.0218(0.0042)","0.0217(0.0055)","0.0164(0.0027)","0.017(0.0025)","0.0135(0.0025)"
"2211_lkflag","0.0192(0.0125)","0.0273(0.0101)","0.0332(0.0101)","0.0336(0.0084)","0.0374(0.0063)","0.0324(0.0068)"
"2212_rbf","0.0228(0.0047)","0.0267(0.0055)","0.023(0.006)","0.0208(0.0041)","0.0189(0.0031)","0.0167(0.0032)"
"2212_lkflag","0.0153(0.0059)","0.0307(0.0044)","0.0334(0.0057)","0.0327(0.0067)","0.0348(0.0045)","0.0373(0.0028)"
"2301_rbf","0.0155(0.0068)","0.0137(0.003)","0.0115(0.0021)","0.0114(0.0029)","0.0107(0.0018)","0.0111(0.0016)"
"2301_lkflag","0.0058(0.0026)","0.0122(0.0029)","0.0134(0.002)","0.0137(0.0018)","0.0141(0.0019)","0.0156(0.0012)"
"2302_rbf","0.0227(0.0055)","0.0199(0.0056)","0.0179(0.0041)","0.0154(0.0036)","0.0162(0.0025)","0.0146(0.0026)"
"2302_lkflag","0.0078(0.0037)","0.0122(0.0026)","0.0127(0.0016)","0.0144(0.0022)","0.0149(9e-04)","0.0151(0.0012)"
"2311_rbf","0.0232(0.0063)","0.0173(0.0045)","0.0207(0.0032)","0.0192(0.0029)","0.0183(0.0019)","0.0172(0.0013)"
"2311_lkflag","0.0056(0.0017)","0.0101(0.0012)","0.0125(0.0016)","0.0146(0.0021)","0.015(0.0014)","0.0135(0.0012)"
"2312_rbf","0.0184(0.0051)","0.0164(0.0035)","0.0161(0.0015)","0.0156(0.0017)","0.0153(0.0023)","0.0136(0.0016)"
"2312_lkflag","0.0084(0.0029)","0.0129(0.0023)","0.0159(0.002)","0.0158(0.0018)","0.0153(0.0017)","0.0164(0.0018)"
"2321_rbf","0.032(0.0086)","0.0287(0.0063)","0.0266(0.0039)","0.0232(0.0016)","0.0243(0.004)","0.0231(0.0034)"
"2321_lkflag","0.0088(0.0016)","0.0193(0.0034)","0.0197(0.0026)","0.0211(0.0028)","0.023(0.0029)","0.0248(0.0028)"
"2322_rbf","0.0427(0.0102)","0.041(0.0097)","0.0394(0.0055)","0.0367(0.0063)","0.0366(0.0025)","0.0295(0.0044)"
"2322_lkflag","0.0226(0.0062)","0.0395(0.006)","0.0447(0.0054)","0.045(0.0072)","0.0488(0.005)","0.0491(0.0032)"
