"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0631(0.0074)","0.0747(9e-04)",6.4336,"0.0655(0.003)","0.0719(7e-04)",9.948,"0.0666(0.0026)","0.0697(4e-04)",19.0187,"0.0663(0.0014)","0.0674(3e-04)",56.682,"0.0648(0.0017)","0.0661(3e-04)",156.4424,"0.0639(7e-04)","0.0649(2e-04)",444.0813
"LKFLAG","0.0343(0.0066)","0.1083(0.0141)",13.6297,"0.0468(0.0024)","0.0742(0.0024)",12.4795,"0.0539(0.0023)","0.0654(8e-04)",14.208,"0.0568(0.0012)","0.0611(4e-04)",13.6276,"0.0571(0.0015)","0.0599(3e-04)",16.3194,"0.0578(8e-04)","0.0593(2e-04)",21.6541
"Act RBF","0.4378(0.0512)","0.5001(0.0095)",0,"0.4387(0.037)","0.4778(0.0164)",0,"0.448(0.0264)","0.4679(0.0056)",0,"0.4404(0.0145)","0.4476(0.0066)",0,"0.4291(0.0144)","0.4372(0.0062)",0,"0.4202(0.012)","0.4245(0.0024)",0
"Act LK","0.1559(0.0362)","0.4212(0.02)",0,"0.2463(0.0257)","0.3724(0.0204)",0,"0.3055(0.0289)","0.3671(0.013)",0,"0.3235(0.0142)","0.3491(0.0067)",0,"0.3342(0.0122)","0.3496(0.0047)",0,"0.3432(0.0131)","0.3498(0.0051)",0
