"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0537(0.0065)","0.0607(5e-04)",5.5365,"0.0558(0.0093)","0.0596(0.001)",9.2609,"0.055(0.0034)","0.0581(4e-04)",18.5695,"0.0558(0.0026)","0.0564(2e-04)",53.0827,"0.0545(0.0019)","0.0555(2e-04)",125.9514,"0.0552(0.0013)","0.0544(2e-04)",339.4895
"LKFLAG","0.0295(0.0039)","0.088(0.0061)",11.4897,"0.0403(0.0056)","0.0617(0.0048)",11.4558,"0.0437(0.0028)","0.0539(8e-04)",11.9542,"0.0471(0.002)","0.0507(6e-04)",12.2605,"0.0477(0.0019)","0.0496(2e-04)",12.4962,"0.0491(0.0012)","0.0489(2e-04)",15.1366
"Act RBF","0.4935(0.1595)","0.538(0.0136)",0,"0.5112(0.1379)","0.5338(0.0152)",0,"0.4943(0.0464)","0.531(0.0073)",0,"0.5228(0.0464)","0.5141(0.0049)",0,"0.4981(0.0271)","0.5095(0.0031)",0,"0.5084(0.0212)","0.5017(0.0035)",0
"Act LK","0.2115(0.1222)","0.4884(0.0307)",0,"0.3027(0.078)","0.4501(0.0175)",0,"0.3432(0.0498)","0.4358(0.0089)",0,"0.3999(0.029)","0.4197(0.0091)",0,"0.4044(0.0245)","0.4224(0.0053)",0,"0.419(0.0185)","0.4173(0.0049)",0
