"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0537(0.0061)","0.0611(0.0014)",6.083,"0.0539(0.0045)","0.0582(0.001)",9.4373,"0.0527(0.0024)","0.0556(8e-04)",18.659,"0.0511(0.0014)","0.0528(3e-04)",55.1722,"0.0499(8e-04)","0.0513(4e-04)",135.1304,"0.0492(0.0011)","0.0499(3e-04)",362.342
"LKFLAG","0.0264(0.0034)","0.0879(0.0114)",11.4589,"0.0347(0.0026)","0.0541(0.0013)",13.7684,"0.0387(0.0018)","0.0476(9e-04)",13.5611,"0.0409(8e-04)","0.0446(4e-04)",12.955,"0.0415(7e-04)","0.0436(2e-04)",15.2718,"0.0422(8e-04)","0.0433(3e-04)",16.9007
"Act RBF","0.3814(0.0459)","0.4135(0.0196)",0,"0.3887(0.0372)","0.406(0.0169)",0,"0.3809(0.0229)","0.3916(0.0164)",0,"0.3556(0.0117)","0.3661(0.0068)",0,"0.3463(0.0158)","0.354(0.0068)",0,"0.337(0.009)","0.3394(0.0043)",0
"Act LK","0.1189(0.0274)","0.3115(0.0343)",0,"0.1743(0.0252)","0.2678(0.0204)",0,"0.2183(0.0232)","0.2612(0.0119)",0,"0.2371(0.0084)","0.2563(0.0046)",0,"0.2455(0.0107)","0.2563(0.0041)",0,"0.2499(0.0051)","0.2547(0.0046)",0
