"","500","1000","2000","5000","10000","20000"
"2001_rbf","0.0696(0.0655)","0.0592(0.0478)","0.0354(0.0095)","0.0507(0.0156)","0.0453(0.0101)","0.0416(0.0061)"
"2001_lkflag","0.0312(0.0296)","0.0386(0.0245)","0.0276(0.0082)","0.0403(0.0129)","0.0368(0.0092)","0.0365(0.0053)"
"2002_rbf","0.0305(0.0188)","0.0179(0.0059)","0.0342(0.0174)","0.0239(0.0088)","0.0224(0.0053)","0.0224(0.0065)"
"2002_lkflag","0.0195(0.0083)","0.0204(0.0106)","0.0332(0.0189)","0.0262(0.0101)","0.025(0.0042)","0.0249(0.0054)"
"2101_rbf","0.0444(0.0382)","0.0644(0.0321)","0.0509(0.0101)","0.0545(0.0075)","0.0542(0.0093)","0.051(0.004)"
"2101_lkflag","0.0194(0.0112)","0.0396(0.0302)","0.0345(0.0085)","0.0387(0.003)","0.0369(0.0048)","0.0389(0.004)"
"2102_rbf","0.0798(0.0368)","0.0733(0.0325)","0.0536(0.0235)","0.0662(0.0156)","0.0595(0.0086)","0.0655(0.0073)"
"2102_lkflag","0.0393(0.0256)","0.0494(0.0159)","0.0503(0.0228)","0.0594(0.0102)","0.057(0.0101)","0.0659(0.0068)"
"2111_rbf","0.1818(0.1406)","0.1701(0.0929)","0.1507(0.0689)","0.1497(0.0736)","0.128(0.0243)","0.1288(0.0189)"
"2111_lkflag","0.0762(0.0859)","0.1096(0.0605)","0.0714(0.0242)","0.0889(0.0256)","0.0912(0.018)","0.09(0.0132)"
"2112_rbf","0.0631(0.0692)","0.104(0.0659)","0.121(0.0467)","0.096(0.0304)","0.0994(0.0244)","0.1038(0.0106)"
"2112_lkflag","0.0273(0.034)","0.0482(0.0299)","0.0668(0.0288)","0.0587(0.0223)","0.0683(0.0183)","0.0671(0.0069)"
"2201_rbf","0.1522(0.1079)","0.0901(0.0185)","0.095(0.0274)","0.0962(0.0087)","0.0839(0.0055)","0.0855(0.0036)"
"2201_lkflag","0.0604(0.0427)","0.0557(0.0128)","0.0632(0.0192)","0.0718(0.0061)","0.0644(0.0054)","0.0681(0.0034)"
"2202_rbf","0.0708(0.0583)","0.0956(0.038)","0.0819(0.012)","0.0788(0.0134)","0.0745(0.0063)","0.0786(0.0044)"
"2202_lkflag","0.044(0.0324)","0.0665(0.0268)","0.0674(0.0046)","0.066(0.0092)","0.0665(0.0043)","0.0719(0.0026)"
"2211_rbf","0.0292(0.0264)","0.101(0.1053)","0.0851(0.0446)","0.079(0.0265)","0.0967(0.0433)","0.0839(0.0172)"
"2211_lkflag","0.0176(0.0163)","0.0467(0.0303)","0.0617(0.0298)","0.0675(0.0181)","0.0766(0.0263)","0.0746(0.0106)"
"2212_rbf","0.0575(0.0511)","0.1179(0.1428)","0.0858(0.049)","0.0875(0.038)","0.0806(0.0154)","0.0806(0.015)"
"2212_lkflag","0.0188(0.0253)","0.0509(0.0665)","0.048(0.0353)","0.0557(0.0238)","0.0567(0.01)","0.0573(0.0071)"
"2301_rbf","0.1465(0.1634)","0.1663(0.0977)","0.2148(0.1304)","0.1377(0.0447)","0.14(0.023)","0.1542(0.0292)"
