"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0293(0.0022)","0.0349(5e-04)",5.2576,"0.0309(0.0019)","0.0335(3e-04)",9.5822,"0.03(0.0011)","0.0324(2e-04)",18.594,"0.0301(7e-04)","0.0313(2e-04)",54.2245,"0.0299(5e-04)","0.0307(1e-04)",129.7831,"0.0297(3e-04)","0.0301(1e-04)",343.6695
"LKFLAG","0.016(0.0015)","0.0548(0.0059)",12.1988,"0.0216(0.0014)","0.0344(6e-04)",12.1774,"0.024(9e-04)","0.0298(3e-04)",11.6732,"0.0258(5e-04)","0.0283(1e-04)",11.8956,"0.0264(6e-04)","0.0277(1e-04)",11.8286,"0.0268(3e-04)","0.0275(1e-04)",14.6003
"Act RBF","0.199(0.0428)","0.231(0.0089)",0,"0.1982(0.0173)","0.2191(0.0085)",0,"0.1953(0.0136)","0.2106(0.0061)",0,"0.1976(0.0072)","0.2024(0.0032)",0,"0.1889(0.0035)","0.1961(0.0022)",0,"0.1888(0.0032)","0.1903(0.0024)",0
"Act LK","0.0702(0.0194)","0.1995(0.0197)",0,"0.1032(0.0114)","0.1653(0.0075)",0,"0.1284(0.0108)","0.159(0.0062)",0,"0.1487(0.0059)","0.1606(0.0025)",0,"0.1488(0.0056)","0.1594(0.0027)",0,"0.1562(0.0032)","0.1591(0.0029)",0
