"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0602(0.0065)","0.0696(0.0018)",5.3401,"0.0623(0.0044)","0.0654(8e-04)",9.3059,"0.0593(0.0038)","0.0627(7e-04)",18.8078,"0.0569(0.0028)","0.0591(4e-04)",53.9006,"0.0563(0.0012)","0.0572(2e-04)",120.0559,"0.0552(8e-04)","0.0555(3e-04)",332.7438
"LKFLAG","0.0274(0.002)","0.0904(0.0093)",11.0438,"0.0392(0.0024)","0.0596(0.0018)",11.0375,"0.0426(0.0025)","0.0531(8e-04)",10.8971,"0.0453(0.0024)","0.0494(4e-04)",11.486,"0.0464(9e-04)","0.0484(2e-04)",12.9026,"0.047(6e-04)","0.0477(2e-04)",15.4735
"Act RBF","0.4577(0.0941)","0.509(0.0207)",0,"0.4749(0.0755)","0.4706(0.0132)",0,"0.4356(0.0234)","0.4575(0.0094)",0,"0.424(0.0191)","0.4302(0.0106)",0,"0.4098(0.0171)","0.4118(0.0062)",0,"0.3928(0.0068)","0.3929(0.0038)",0
"Act LK","0.1086(0.0234)","0.3524(0.0318)",0,"0.2119(0.0343)","0.304(0.0123)",0,"0.2534(0.0124)","0.303(0.0084)",0,"0.281(0.0169)","0.302(0.0074)",0,"0.2876(0.0132)","0.2952(0.0078)",0,"0.291(0.0052)","0.2932(0.0044)",0
