"","500","1000","2000","5000","10000","20000"
"2502_rbf","0.0293(0.0629)","0.0102(0.0097)","0.0316(0.0372)","0.0383(0.0195)","0.0414(0.0122)","0.0368(0.0088)"
"2502_lkflag","0.0142(0.0209)","0.0125(0.0103)","0.032(0.0411)","0.0403(0.0182)","0.0355(0.01)","0.0312(0.0091)"
"2601_rbf","0.0359(0.0286)","0.0278(0.0135)","0.0314(0.0119)","0.0402(0.0054)","0.0344(0.0038)","0.033(0.0029)"
"2601_lkflag","0.0227(0.0166)","0.025(0.0117)","0.0246(0.0078)","0.032(0.0053)","0.0291(0.0039)","0.0288(0.0026)"
"2602_rbf","0.0274(0.0197)","0.0227(0.0083)","0.0242(0.0124)","0.0231(0.0065)","0.0252(0.004)","0.0239(0.0024)"
"2602_lkflag","0.0145(0.0144)","0.0169(0.0046)","0.0225(0.0094)","0.0199(0.005)","0.0237(0.0037)","0.0237(0.0029)"
"2611_rbf","0.0881(0.0844)","0.0812(0.0894)","0.0717(0.0313)","0.072(0.0154)","0.0586(0.0111)","0.0572(0.0114)"
"2611_lkflag","0.0387(0.0784)","0.0438(0.0662)","0.0345(0.0192)","0.0436(0.0099)","0.0415(0.0091)","0.0412(0.0091)"
"2612_rbf","0.0382(0.0279)","0.0411(0.0134)","0.0473(0.0281)","0.0483(0.0155)","0.0458(0.0115)","0.0423(0.003)"
"2612_lkflag","0.0224(0.0199)","0.0303(0.0177)","0.0325(0.0229)","0.0315(0.0099)","0.0323(0.0054)","0.0323(0.0021)"
"2701_rbf","0.0242(0.0573)","0.021(0.0329)","0.0241(0.0124)","0.0283(0.0072)","0.029(0.0065)","0.0312(0.0056)"
"2701_lkflag","0.0112(0.0184)","0.011(0.0157)","0.0196(0.0102)","0.0229(0.0066)","0.0248(0.0049)","0.0261(0.0025)"
"2702_rbf","0.0349(0.0435)","0.042(0.0438)","0.0406(0.0261)","0.024(0.0101)","0.0338(0.0073)","0.0316(0.0058)"
"2702_lkflag","0.017(0.0206)","0.0281(0.0173)","0.0288(0.0149)","0.0267(0.0103)","0.0317(0.0074)","0.0315(0.0067)"
