"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0607(0.0057)","0.0678(0.001)",5.4032,"0.0604(0.0026)","0.0654(7e-04)",9.3715,"0.059(0.0025)","0.0625(4e-04)",18.7419,"0.0596(0.0017)","0.0603(3e-04)",53.6957,"0.0573(0.001)","0.0588(3e-04)",128.4899,"0.0573(9e-04)","0.0576(2e-04)",353.2948
"LKFLAG","0.0303(0.0044)","0.0967(0.0082)",12.6028,"0.0415(0.0022)","0.0633(0.0018)",11.7694,"0.045(0.0021)","0.0553(6e-04)",11.332,"0.0484(0.0013)","0.052(3e-04)",12.9394,"0.0489(7e-04)","0.0512(2e-04)",12.3379,"0.0498(7e-04)","0.0506(3e-04)",14.8238
"Act RBF","0.454(0.0701)","0.4797(0.0148)",0,"0.4349(0.0516)","0.4682(0.0102)",0,"0.4317(0.0333)","0.4452(0.0068)",0,"0.418(0.0257)","0.4252(0.0055)",0,"0.3974(0.0156)","0.4123(0.0061)",0,"0.4002(0.0138)","0.4(0.0034)",0
"Act LK","0.1362(0.0414)","0.3674(0.0365)",0,"0.2279(0.0376)","0.3318(0.0223)",0,"0.2651(0.028)","0.3149(0.0119)",0,"0.282(0.02)","0.3061(0.0059)",0,"0.2899(0.0127)","0.3105(0.0073)",0,"0.3049(0.0127)","0.3065(0.005)",0
