"","500","1000","2000","5000","10000","20000"
"2001_rbf","0.0329(0.0287)","0.0377(0.0323)","0.0343(0.0168)","0.0386(0.0096)","0.0304(0.006)","0.0333(0.0023)"
"2001_lkflag","0.017(0.0105)","0.0264(0.0179)","0.0257(0.0112)","0.0292(0.0057)","0.024(0.0048)","0.0259(0.002)"
"2002_rbf","0.0169(0.0106)","0.0259(0.0284)","0.0216(0.0072)","0.0203(0.0025)","0.0235(0.0039)","0.0217(0.0022)"
"2002_lkflag","0.0115(0.0077)","0.0192(0.0199)","0.0203(0.0075)","0.0187(0.0028)","0.0214(0.0049)","0.0201(0.0021)"
"2101_rbf","0.055(0.0301)","0.0427(0.0108)","0.0429(0.0105)","0.0383(0.0062)","0.0349(0.0025)","0.039(0.0026)"
"2101_lkflag","0.0293(0.0205)","0.0301(0.0061)","0.0323(0.0113)","0.0336(0.005)","0.0312(0.0036)","0.0348(0.0025)"
"2102_rbf","0.0569(0.0426)","0.0678(0.0216)","0.0635(0.0203)","0.0596(0.0148)","0.0608(0.0092)","0.063(0.0058)"
"2102_lkflag","0.0362(0.0313)","0.0599(0.0178)","0.0591(0.0197)","0.0578(0.0135)","0.0611(0.0075)","0.0658(0.0064)"
"2111_rbf","0.0363(0.0262)","0.0662(0.0524)","0.0556(0.0376)","0.0783(0.0223)","0.0653(0.016)","0.0761(0.0143)"
"2111_lkflag","0.0128(0.0076)","0.0278(0.0175)","0.0301(0.0157)","0.0513(0.0156)","0.0447(0.0137)","0.0566(0.0119)"
"2112_rbf","0.037(0.0292)","0.0232(0.021)","0.034(0.0216)","0.0287(0.0099)","0.0295(0.0051)","0.0309(0.0062)"
"2112_lkflag","0.0155(0.0203)","0.0276(0.0156)","0.0389(0.0198)","0.0351(0.0139)","0.034(0.0071)","0.0348(0.0065)"
"2201_rbf","0.0904(0.025)","0.0805(0.0294)","0.0737(0.0209)","0.0677(0.0097)","0.0635(0.007)","0.065(0.0037)"
"2201_lkflag","0.0398(0.015)","0.0452(0.0157)","0.0516(0.0133)","0.0508(0.0078)","0.0496(0.0064)","0.0538(0.0032)"
"2202_rbf","0.0969(0.044)","0.107(0.0253)","0.0905(0.0194)","0.101(0.0112)","0.0943(0.0073)","0.0962(0.0052)"
"2202_lkflag","0.0638(0.0343)","0.0776(0.0278)","0.0808(0.0198)","0.0945(0.0118)","0.0933(0.0066)","0.0974(0.0047)"
"2211_rbf","0.0075(0.0069)","0.0311(0.0299)","0.0383(0.0226)","0.0331(0.0107)","0.0274(0.0057)","0.0323(0.0076)"
"2211_lkflag","0.0106(0.0108)","0.0202(0.0138)","0.0216(0.014)","0.0263(0.0081)","0.0213(0.0064)","0.0268(0.0059)"
"2212_rbf","0.0221(0.0303)","0.0235(0.0284)","0.0243(0.0148)","0.0246(0.0126)","0.0266(0.0046)","0.0312(0.0034)"
"2212_lkflag","0.0167(0.0126)","0.0248(0.0215)","0.0277(0.0196)","0.0272(0.015)","0.028(0.0065)","0.0325(0.0051)"
"2301_rbf","0.0561(0.0489)","0.0682(0.0591)","0.0509(0.0334)","0.0539(0.0249)","0.0528(0.0222)","0.0581(0.0101)"
"2301_lkflag","0.0291(0.0334)","0.0466(0.03)","0.0445(0.0194)","0.0528(0.0173)","0.0523(0.0203)","0.0578(0.009)"
"2302_rbf","0.2013(0.2025)","0.2272(0.2068)","0.1282(0.0407)","0.1634(0.0378)","0.1811(0.0322)","0.1764(0.0346)"
