"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0431(0.0021)","0.0484(7e-04)",5.4128,"0.0439(0.0024)","0.0469(4e-04)",9.4535,"0.0422(0.0019)","0.0457(3e-04)",19.0413,"0.0434(8e-04)","0.0444(2e-04)",52.7524,"0.0431(9e-04)","0.0435(1e-04)",121.7611,"0.0424(5e-04)","0.0427(1e-04)",335.9957
"LKFLAG","0.0241(0.0014)","0.0722(0.0052)",10.477,"0.0319(0.0021)","0.0504(0.002)",9.9748,"0.0351(0.0014)","0.0439(5e-04)",11.0238,"0.0382(9e-04)","0.0412(3e-04)",11.3672,"0.0391(9e-04)","0.0405(2e-04)",12.0296,"0.0394(4e-04)","0.0401(2e-04)",14.9136
"Act RBF","0.2391(0.0386)","0.2831(0.0155)",0,"0.2445(0.0242)","0.2824(0.011)",0,"0.2473(0.0317)","0.27(0.0109)",0,"0.2502(0.0118)","0.2641(0.0074)",0,"0.254(0.0121)","0.2528(0.0067)",0,"0.2497(0.0063)","0.2502(0.0028)",0
"Act LK","0.0859(0.0205)","0.252(0.0271)",0,"0.1327(0.0184)","0.223(0.0193)",0,"0.1658(0.0213)","0.2123(0.0117)",0,"0.189(0.0081)","0.2126(0.0045)",0,"0.2037(0.009)","0.2086(0.0065)",0,"0.2092(0.0063)","0.2115(0.0033)",0
