"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.043(0.002)","0.047(0.001)",1.35,"0.042(0.002)","0.044(0.001)",2.958,"0.04(0.001)","0.041(0.001)",10.697,"0.039(0.001)","0.039(0)",34.869
"Nystrom","0.023(0.001)","0.04(0.002)",71.484,"0.026(0.001)","0.034(0.001)",73.403,"0.028(0)","0.031(0)",79.513,"0.028(0)","0.03(0)",88.589
"LKFLAG","0.023(0.002)","0.037(0.002)",1.367,"0.026(0.001)","0.032(0.001)",1.526,"0.027(0.001)","0.03(0)",2.031,"0.028(0)","0.029(0)",2.847
"Act RBF","0.243(0.027)","0.262(0.013)",0,"0.23(0.018)","0.242(0.012)",0,"0.215(0.011)","0.221(0.007)",0,"0.205(0.007)","0.205(0.006)",0
"Act Nystrom","0.091(0.015)","0.13(0.011)",0,"0.103(0.009)","0.123(0.008)",0,"0.115(0.007)","0.125(0.006)",0,"0.12(0.005)","0.122(0.005)",0
"Act LK","0.084(0.013)","0.132(0.013)",0,"0.1(0.011)","0.123(0.009)",0,"0.111(0.008)","0.12(0.006)",0,"0.115(0.006)","0.118(0.005)",0
