"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.025(0.001)","0.027(0)",1.32,"0.024(0.001)","0.025(0)",3.029,"0.024(0)","0.024(0)",10.76,"0.023(0)","0.023(0)",35.45
"Nystrom","0.014(0.001)","0.024(0.001)",57.411,"0.016(0)","0.02(0)",60.89,"0.017(0)","0.019(0)",67.197,"0.017(0)","0.018(0)",76.275
"LKFLAG","0.013(0.001)","0.022(0)",1.367,"0.015(0)","0.019(0)",1.552,"0.016(0)","0.018(0)",2.242,"0.016(0)","0.017(0)",3.045
"Act RBF","0.123(0.015)","0.137(0.005)",0,"0.124(0.014)","0.13(0.006)",0,"0.118(0.006)","0.122(0.004)",0,"0.112(0.004)","0.114(0.002)",0
"Act Nystrom","0.051(0.005)","0.075(0.005)",0,"0.061(0.008)","0.073(0.004)",0,"0.066(0.005)","0.072(0.003)",0,"0.07(0.003)","0.072(0.002)",0
"Act LK","0.045(0.004)","0.071(0.008)",0,"0.056(0.008)","0.067(0.005)",0,"0.06(0.003)","0.066(0.004)",0,"0.062(0.003)","0.065(0.002)",0
