"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.037(0.002)","0.041(0.001)",1.362,"0.036(0.002)","0.039(0.001)",2.907,"0.036(0.001)","0.037(0)",10.762,"0.035(0.001)","0.035(0)",34.513
"Nystrom","0.021(0.001)","0.038(0.002)",56.706,"0.023(0.001)","0.031(0.001)",58.46,"0.026(0)","0.028(0)",63.451,"0.026(0)","0.027(0)",71.826
"LKFLAG","0.019(0.002)","0.032(0.001)",1.357,"0.022(0.001)","0.028(0.001)",1.58,"0.024(0.001)","0.026(0)",1.925,"0.024(0)","0.025(0)",2.652
"Act RBF","0.203(0.024)","0.227(0.014)",0,"0.202(0.018)","0.217(0.008)",0,"0.192(0.009)","0.197(0.004)",0,"0.189(0.008)","0.186(0.005)",0
"Act Nystrom","0.082(0.013)","0.119(0.014)",0,"0.095(0.01)","0.115(0.004)",0,"0.108(0.005)","0.116(0.004)",0,"0.115(0.006)","0.114(0.005)",0
"Act LK","0.068(0.013)","0.11(0.012)",0,"0.085(0.009)","0.102(0.008)",0,"0.093(0.007)","0.101(0.005)",0,"0.097(0.004)","0.097(0.004)",0
