"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.034(0.002)","0.037(0.001)",1.491,"0.032(0.001)","0.034(0.001)",2.995,"0.032(0.001)","0.032(0)",10.908,"0.03(0)","0.031(0)",34.388
"Nystrom","0.017(0.001)","0.03(0.002)",92.463,"0.019(0)","0.024(0)",94.031,"0.021(0)","0.023(0)",97.825,"0.021(0)","0.022(0)",104.134
"LKFLAG","0.017(0.001)","0.028(0.005)",1.368,"0.019(0.001)","0.024(0)",1.457,"0.02(0)","0.022(0)",1.877,"0.021(0)","0.022(0)",2.469
"Act RBF","0.17(0.025)","0.19(0.015)",0,"0.167(0.013)","0.171(0.007)",0,"0.15(0.008)","0.157(0.005)",0,"0.145(0.003)","0.144(0.004)",0
"Act Nystrom","0.058(0.011)","0.094(0.015)",0,"0.071(0.01)","0.082(0.005)",0,"0.072(0.004)","0.08(0.002)",0,"0.077(0.002)","0.078(0.003)",0
"Act LK","0.053(0.006)","0.093(0.015)",0,"0.069(0.009)","0.084(0.007)",0,"0.071(0.004)","0.08(0.002)",0,"0.077(0.003)","0.078(0.002)",0
