"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.052(0.003)","0.058(0.001)",1.341,"0.051(0.002)","0.054(0.001)",2.894,"0.05(0.001)","0.051(0.001)",10.657,"0.048(0.001)","0.048(0.001)",34.392
"Nystrom","0.027(0.001)","0.046(0.002)",139.137,"0.031(0.001)","0.039(0.001)",141.031,"0.033(0.001)","0.036(0)",147.208,"0.033(0)","0.035(0)",153.875
"LKFLAG","0.027(0.002)","0.044(0.001)",1.334,"0.031(0.001)","0.038(0.001)",1.51,"0.033(0.001)","0.036(0.001)",2.093,"0.034(0.001)","0.035(0.001)",2.733
"Act RBF","0.328(0.018)","0.354(0.013)",0,"0.298(0.026)","0.317(0.017)",0,"0.294(0.015)","0.293(0.009)",0,"0.27(0.011)","0.272(0.011)",0
"Act Nystrom","0.126(0.015)","0.167(0.009)",0,"0.135(0.007)","0.158(0.009)",0,"0.15(0.007)","0.157(0.008)",0,"0.152(0.007)","0.156(0.005)",0
"Act LK","0.11(0.017)","0.172(0.013)",0,"0.129(0.011)","0.158(0.007)",0,"0.145(0.011)","0.153(0.01)",0,"0.147(0.01)","0.152(0.006)",0
