"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.043(0.003)","0.047(0.001)",1.37,"0.043(0.002)","0.045(0.001)",2.92,"0.041(0.001)","0.042(0.001)",10.532,"0.039(0.001)","0.04(0)",35.385
"Nystrom","0.022(0.002)","0.041(0.002)",59.331,"0.025(0.001)","0.033(0.001)",60.83,"0.027(0)","0.03(0)",66.113,"0.028(0.001)","0.029(0)",75.226
"LKFLAG","0.023(0.001)","0.039(0.003)",1.337,"0.026(0.001)","0.033(0)",1.471,"0.028(0.001)","0.031(0)",1.959,"0.029(0.001)","0.03(0)",2.749
"Act RBF","0.231(0.029)","0.246(0.008)",0,"0.214(0.017)","0.233(0.008)",0,"0.193(0.009)","0.202(0.008)",0,"0.189(0.007)","0.192(0.003)",0
"Act Nystrom","0.084(0.013)","0.122(0.007)",0,"0.095(0.008)","0.119(0.007)",0,"0.104(0.007)","0.113(0.007)",0,"0.109(0.005)","0.115(0.004)",0
"Act LK","0.08(0.012)","0.129(0.01)",0,"0.095(0.009)","0.123(0.01)",0,"0.108(0.009)","0.117(0.006)",0,"0.112(0.004)","0.117(0.005)",0
