"","error rates","time","error rates","time"
"RBF GP","46.8(2.1)",0.48,"45.3(2)",0.52
"RBF KSVM","47.1(2.5)",0.04,"46.4(1.3)",0.06
"GLGP","47.7(5.7)",59.74,"17.1(3.8)",59.72
"sparseGLGP","0(0)",15.61,"0(0)",15.84
"Nystrom extension","41.3(9.6)",7.38,"17.3(3.4)",7.54
"SRFLAG","17.8(4.7)",1.59,"9.7(3.9)",1.81
"SKFLAG","0(0)",1.98,"0(0)",2.34
"LRFLAG","27(4.4)",0.27,"19.5(3.5)",0.33
"LKFLAG","1.1(2.6)",0.33,"0.3(0.7)",0.4
