"","error rates","time","error rates","time"
"RBF GP","46.1(3)",0.19,"44.8(2.4)",0.2
"RBF KSVM","46.7(2.4)",0.02,"45(3.1)",0.03
"GLGP","46.8(6.9)",9.21,"17.6(3.4)",9.33
"sparseGLGP","0.1(0.4)",4.37,"0(0)",4.63
"Nystrom extension","44.6(8.7)",3.99,"16.2(3.8)",4.12
"SRFLAG","16.5(4.2)",1.36,"12(3.5)",1.58
"SKFLAG","0(0)",2.29,"0(0.2)",2.59
"LRFLAG","26.9(4.8)",0.16,"18.1(3.5)",0.21
"LKFLAG","3.3(2.9)",0.18,"1.5(1.4)",0.24
