"","5000","10000","15000","20000","25000","30000"
"2001_rbf","0.0071(0.0015)","0.0066(0.0011)","0.0058(8e-04)","0.0061(6e-04)","0.0057(8e-04)","0.0056(6e-04)"
"2001_lkflag","0.002(6e-04)","0.0039(9e-04)","0.0042(6e-04)","0.0046(5e-04)","0.0047(5e-04)","0.0049(4e-04)"
"2002_rbf","0.0066(0.0011)","0.0056(6e-04)","0.0055(0.001)","0.0055(5e-04)","0.0053(4e-04)","0.0049(8e-04)"
"2002_lkflag","0.0018(4e-04)","0.0035(4e-04)","0.0043(5e-04)","0.0042(5e-04)","0.0047(2e-04)","0.0046(4e-04)"
"2101_rbf","0.0147(0.0032)","0.0145(0.0019)","0.0145(0.0012)","0.0149(0.0012)","0.0147(0.0012)","0.0143(9e-04)"
"2101_lkflag","0.003(7e-04)","0.007(5e-04)","0.0075(6e-04)","0.0083(6e-04)","0.009(6e-04)","0.0085(4e-04)"
"2102_rbf","0.0173(0.003)","0.0169(0.0014)","0.0172(0.0021)","0.0169(0.002)","0.017(0.0015)","0.0168(9e-04)"
"2102_lkflag","0.0038(0.0015)","0.0075(6e-04)","0.0091(0.001)","0.0094(9e-04)","0.01(8e-04)","0.0099(0.001)"
"2111_rbf","0.0113(0.002)","0.0098(0.0018)","0.0099(0.0031)","0.0106(0.0019)","0.0119(0.0016)","0.0108(0.0018)"
"2111_lkflag","0.0066(0.0021)","0.0117(0.0029)","0.0128(0.004)","0.0159(0.002)","0.016(0.0018)","0.0166(0.0021)"
"2112_rbf","0.0099(0.0041)","0.0111(0.003)","0.0123(0.0029)","0.0107(0.0023)","0.0095(0.002)","0.0105(0.0018)"
"2112_lkflag","0.0046(0.0018)","0.0102(0.0025)","0.0148(0.0029)","0.0147(0.0022)","0.0138(0.0023)","0.0147(0.0013)"
"2201_rbf","0.0154(0.0029)","0.0161(0.0017)","0.0153(0.0015)","0.0148(0.0013)","0.0146(9e-04)","0.0143(0.0011)"
"2201_lkflag","0.0035(6e-04)","0.0066(9e-04)","0.0075(7e-04)","0.0083(7e-04)","0.0087(7e-04)","0.0085(7e-04)"
"2202_rbf","0.0118(0.0021)","0.0115(0.0012)","0.0113(0.0013)","0.0117(0.0011)","0.0109(9e-04)","0.011(0.001)"
"2202_lkflag","0.0028(7e-04)","0.0047(7e-04)","0.0054(4e-04)","0.0059(6e-04)","0.0062(4e-04)","0.0063(5e-04)"
"2211_rbf","0.0079(0.0019)","0.0067(0.0017)","0.0066(0.0013)","0.0062(0.0016)","0.0055(0.0017)","0.006(0.001)"
"2211_lkflag","0.0042(0.0018)","0.0076(0.0019)","0.0093(0.0017)","0.0094(0.0017)","0.0089(0.0012)","0.0107(0.0019)"
"2212_rbf","0.0055(0.0017)","0.0049(0.0013)","0.005(0.0014)","0.0042(0.0011)","0.0045(9e-04)","0.0039(8e-04)"
"2212_lkflag","0.003(0.0016)","0.0052(0.0016)","0.0076(0.0017)","0.0068(0.0011)","0.0078(9e-04)","0.0073(0.0011)"
"2301_rbf","0.0097(0.0029)","0.0079(0.0012)","0.0075(0.0016)","0.0067(0.0015)","0.0066(0.0013)","0.0059(0.0011)"
"2301_lkflag","0.0054(0.0025)","0.0085(0.0011)","0.01(0.0016)","0.0101(7e-04)","0.0113(0.0015)","0.0115(0.0013)"
"2302_rbf","0.0087(0.0021)","0.0098(0.0017)","0.008(0.0018)","0.0076(0.0015)","0.0069(9e-04)","0.007(8e-04)"
"2302_lkflag","0.004(0.0015)","0.0078(0.0019)","0.0091(0.0018)","0.0098(0.0017)","0.0093(0.001)","0.0095(7e-04)"
"2311_rbf","0.0144(0.0024)","0.0125(0.0026)","0.0124(0.0018)","0.0121(0.0011)","0.0114(0.0014)","0.0113(0.001)"
"2311_lkflag","0.0049(0.0014)","0.0085(0.0013)","0.0101(0.0016)","0.0106(0.0013)","0.011(5e-04)","0.0117(6e-04)"
"2312_rbf","0.0089(0.0029)","0.0077(0.0011)","0.0068(0.001)","0.0072(0.0012)","0.007(8e-04)","0.0063(8e-04)"
"2312_lkflag","0.0035(0.001)","0.0065(0.0014)","0.0078(0.0012)","0.0079(0.0013)","0.0085(0.0011)","0.0083(9e-04)"
"2321_rbf","0.0121(0.0034)","0.0133(0.0031)","0.0104(0.0015)","0.0106(0.0015)","0.0099(0.0015)","0.0104(0.001)"
"2321_lkflag","0.0047(0.0022)","0.0091(0.0026)","0.0098(0.0019)","0.0111(0.0012)","0.011(0.0011)","0.0117(0.001)"
"2322_rbf","0.0158(0.0054)","0.0131(0.0029)","0.013(0.0025)","0.011(0.0021)","0.0116(0.0026)","0.0101(0.001)"
"2322_lkflag","0.0055(0.0021)","0.0086(0.0018)","0.0108(0.0016)","0.0107(0.0013)","0.0117(0.002)","0.0118(0.0017)"
"2331_rbf","0.0088(0.0027)","0.0087(0.0024)","0.0087(0.0013)","0.009(0.0013)","0.0086(0.001)","0.0076(0.001)"
"2331_lkflag","0.0031(0.0014)","0.0072(0.0017)","0.0086(0.0016)","0.0099(0.0017)","0.0098(0.001)","0.0103(9e-04)"
"2332_rbf","0.0083(0.004)","0.0068(0.0017)","0.0065(0.0017)","0.0063(0.0015)","0.0062(0.001)","0.0052(9e-04)"
"2332_lkflag","0.004(0.0016)","0.0058(0.0014)","0.0068(0.0019)","0.0078(6e-04)","0.0079(8e-04)","0.0078(0.0012)"
"2401_rbf","0.0131(0.0037)","0.0125(0.0019)","0.0114(0.0018)","0.0108(0.0012)","0.0115(0.001)","0.0103(0.0011)"
"2401_lkflag","0.0042(0.0014)","0.0088(0.0014)","0.0097(0.0013)","0.0103(0.0013)","0.0111(0.0014)","0.0108(0.0011)"
"2402_rbf","0.0087(0.002)","0.0079(0.0015)","0.0081(0.0011)","0.0086(9e-04)","0.008(8e-04)","0.0079(8e-04)"
"2402_lkflag","0.003(0.0011)","0.0047(9e-04)","0.0062(8e-04)","0.0072(6e-04)","0.0069(8e-04)","0.0069(5e-04)"
"2501_rbf","0.0199(0.0106)","0.0232(0.0099)","0.0148(0.005)","0.0161(0.0065)","0.0168(0.0046)","0.0122(0.0032)"
"2501_lkflag","0.0162(0.0109)","0.0288(0.0076)","0.0298(0.007)","0.0298(0.0083)","0.0302(0.0063)","0.0303(0.0064)"
"2502_rbf","0.0111(0.0046)","0.0207(0.0112)","0.0127(0.0048)","0.0133(0.0065)","0.0096(0.0026)","0.0102(0.0032)"
"2502_lkflag","0.0066(0.0051)","0.0278(0.0146)","0.0245(0.007)","0.0267(0.0083)","0.0246(0.0061)","0.0276(0.0059)"
"2601_rbf","0.0166(0.0035)","0.0154(0.0016)","0.0161(0.001)","0.0153(0.0012)","0.015(0.0011)","0.0149(9e-04)"
"2601_lkflag","0.0055(0.0025)","0.0086(0.0012)","0.0103(0.0011)","0.0111(0.0011)","0.011(7e-04)","0.0111(8e-04)"
"2602_rbf","0.0099(0.0017)","0.0106(0.0015)","0.0112(0.0015)","0.0104(0.0012)","0.0108(0.0011)","0.011(0.0012)"
"2602_lkflag","0.0033(0.001)","0.007(0.0012)","0.0093(0.0015)","0.0091(8e-04)","0.0096(0.001)","0.01(0.0011)"
"2611_rbf","0.0158(0.0056)","0.0165(0.0039)","0.0135(0.0021)","0.0119(0.0027)","0.0139(0.0029)","0.0132(0.0015)"
"2611_lkflag","0.0067(0.004)","0.0151(0.003)","0.0148(0.0038)","0.0171(0.0025)","0.0177(0.0029)","0.0171(0.0023)"
"2612_rbf","0.0135(0.0032)","0.011(0.0029)","0.0103(0.0016)","0.0105(0.0019)","0.0104(0.0019)","0.0101(0.0012)"
"2612_lkflag","0.0089(0.0024)","0.0104(0.0021)","0.0142(0.0023)","0.014(0.0018)","0.0139(0.0018)","0.0141(0.0016)"
"2701_rbf","0.0123(0.0038)","0.0118(0.0042)","0.0119(0.0026)","0.0102(0.0021)","0.0114(0.0026)","0.0109(0.0015)"
"2701_lkflag","0.0057(0.0023)","0.0109(0.0023)","0.0127(0.0035)","0.0133(0.0018)","0.0142(0.0016)","0.0146(0.0016)"
"2702_rbf","0.0096(0.0019)","0.0106(0.0019)","0.0099(0.0027)","0.0082(0.0014)","0.0088(0.0013)","0.0084(0.0012)"
"2702_lkflag","0.0046(0.003)","0.0106(0.0027)","0.013(0.0022)","0.0127(0.0019)","0.014(0.0015)","0.0142(0.0019)"
"3001_rbf","0.0157(0.0015)","0.017(0.0022)","0.0167(0.0028)","0.0152(0.0016)","0.0154(0.0015)","0.015(0.0013)"
"3001_lkflag","0.0072(0.0028)","0.013(0.0023)","0.0143(0.0019)","0.0158(0.0018)","0.0155(0.0012)","0.0157(8e-04)"
"3002_rbf","0.0136(0.0041)","0.0134(0.003)","0.0129(0.0022)","0.0123(0.0016)","0.0119(0.0011)","0.0125(0.0017)"
"3002_lkflag","0.005(0.0018)","0.0093(0.0016)","0.0109(0.0015)","0.0117(0.0011)","0.0128(0.0011)","0.0124(0.0015)"
"4001_rbf","0.0317(0.0078)","0.0318(0.0049)","0.0331(0.0044)","0.0296(0.0037)","0.0276(0.0036)","0.0283(0.0026)"
"4001_lkflag","0.0137(0.0056)","0.0222(0.0032)","0.0254(0.0031)","0.0283(0.0026)","0.0268(0.0036)","0.0299(0.0039)"
"4002_rbf","0.015(0.0037)","0.0175(0.0034)","0.0187(0.0024)","0.0175(0.0027)","0.0185(0.0017)","0.0163(0.0022)"
"4002_lkflag","0.0065(0.0017)","0.0148(0.0027)","0.0182(0.0021)","0.0179(0.0027)","0.0208(0.0027)","0.0195(0.0015)"
"4011_rbf","0.0229(0.0087)","0.0235(0.0034)","0.0212(0.0022)","0.022(0.0027)","0.021(0.0028)","0.0222(0.0023)"
"4011_lkflag","0.0065(0.0028)","0.0121(0.0028)","0.0147(0.002)","0.0157(0.002)","0.0163(0.0016)","0.0168(0.0014)"
"4012_rbf","0.0267(0.0065)","0.0307(0.0036)","0.0255(0.0029)","0.0276(0.003)","0.0272(0.0015)","0.0271(0.002)"
"4012_lkflag","0.0086(0.0022)","0.0162(0.0025)","0.0177(0.0018)","0.0191(0.0016)","0.0206(0.0014)","0.0216(0.0019)"
"4021_rbf","0.0175(0.0088)","0.0148(0.0069)","0.0148(0.0057)","0.0127(0.0028)","0.0121(0.0026)","0.0113(0.0036)"
"4021_lkflag","0.0096(0.0062)","0.0186(0.0099)","0.022(0.0081)","0.0224(0.0072)","0.0254(0.0048)","0.0215(0.0064)"
"4022_rbf","0.0282(0.0131)","0.0277(0.0059)","0.021(0.0062)","0.0199(0.0063)","0.0176(0.0038)","0.0172(0.0038)"
"4022_lkflag","0.0078(0.0041)","0.0259(0.0125)","0.0277(0.0112)","0.0273(0.0053)","0.028(0.0048)","0.0306(0.0076)"
"4101_rbf","0.0175(0.0069)","0.0173(0.0054)","0.0128(0.0038)","0.0129(0.0022)","0.0124(0.0032)","0.012(0.0026)"
"4101_lkflag","0.0065(0.0034)","0.0158(0.0045)","0.0154(0.0047)","0.0195(0.0031)","0.0199(0.0031)","0.02(0.0019)"
"4102_rbf","0.0196(0.0076)","0.016(0.0026)","0.0158(0.0028)","0.0149(0.0022)","0.014(0.003)","0.0121(0.0023)"
"4102_lkflag","0.009(0.0043)","0.014(0.0034)","0.0173(0.0023)","0.0211(0.0026)","0.0201(0.0011)","0.0201(0.0022)"
"4111_rbf","0.016(0.0069)","0.0198(0.0061)","0.0164(0.0038)","0.0158(0.0023)","0.0144(0.0025)","0.0153(0.0027)"
"4111_lkflag","0.0077(0.0031)","0.0194(0.0052)","0.0175(0.0038)","0.0204(0.0033)","0.0195(0.0031)","0.0205(0.0042)"
"4112_rbf","0.0139(0.0036)","0.0169(0.0044)","0.0168(0.0041)","0.0147(0.0021)","0.0149(0.0018)","0.0154(0.0014)"
"4112_lkflag","0.0071(0.0026)","0.016(0.0027)","0.0178(0.0029)","0.0179(0.0013)","0.0176(0.0018)","0.0182(0.0021)"
"4201_rbf","0.0208(0.0108)","0.0181(0.007)","0.0157(0.0037)","0.0138(0.002)","0.0103(0.0014)","0.0107(0.0025)"
"4201_lkflag","0.0103(0.0078)","0.0307(0.0099)","0.0319(0.0074)","0.0299(0.0088)","0.0324(0.0045)","0.0341(0.0056)"
"4202_rbf","0.0077(0.0046)","0.009(0.0038)","0.0089(0.0038)","0.0094(0.0026)","0.0096(0.0028)","0.0092(0.0025)"
"4202_lkflag","0.0045(0.0041)","0.0131(0.0088)","0.0191(0.0102)","0.0197(0.0078)","0.0193(0.0041)","0.0201(0.0035)"
"5001_rbf","0.0358(0.0087)","0.0327(0.0044)","0.0355(0.0066)","0.0289(0.0035)","0.0312(0.004)","0.0298(0.0038)"
"5001_lkflag","0.0114(0.0035)","0.0252(0.0047)","0.0273(0.005)","0.0292(0.0032)","0.0301(0.0025)","0.0315(0.0035)"
"5002_rbf","0.0121(0.0021)","0.0115(0.0019)","0.0113(0.0013)","0.0119(0.002)","0.011(0.0013)","0.0108(8e-04)"
"5002_lkflag","0.0043(0.0013)","0.0084(0.0015)","0.0101(0.0018)","0.0108(0.0016)","0.0111(0.0012)","0.011(8e-04)"
"5011_rbf","0.0175(0.0059)","0.0165(0.0037)","0.0154(0.0029)","0.0162(0.0021)","0.0153(0.0027)","0.0131(0.0019)"
"5011_lkflag","0.0061(0.0024)","0.0133(0.0023)","0.0147(0.002)","0.0169(0.0021)","0.0168(0.0022)","0.0168(0.0012)"
"5012_rbf","0.0137(0.0045)","0.0134(0.0021)","0.0112(0.0024)","0.0133(0.0015)","0.0111(0.0017)","0.0099(0.0013)"
"5012_lkflag","0.0043(0.0014)","0.0104(0.0017)","0.0104(0.0019)","0.0123(0.001)","0.0121(0.0015)","0.0125(0.0014)"
"5021_rbf","0.0352(0.0081)","0.0309(0.0042)","0.0259(0.0037)","0.0303(0.0029)","0.0276(0.0018)","0.0278(0.0025)"
"5021_lkflag","0.0138(0.0053)","0.0245(0.0037)","0.027(0.0047)","0.0325(0.0032)","0.032(0.0031)","0.0319(0.0022)"
"5022_rbf","0.0238(0.006)","0.0225(0.0046)","0.0238(0.0035)","0.0223(0.0031)","0.0235(0.0026)","0.0217(0.0017)"
"5022_lkflag","0.0098(0.0032)","0.0153(0.0034)","0.0184(0.0026)","0.0192(0.0023)","0.0212(0.0014)","0.0204(0.0025)"
"5101_rbf","0.0169(0.0041)","0.0177(0.0035)","0.0158(0.0029)","0.0152(0.0029)","0.0142(0.0025)","0.0135(0.0023)"
"5101_lkflag","0.0081(0.0024)","0.0133(0.0031)","0.017(0.0028)","0.0166(0.0025)","0.0184(0.002)","0.0198(0.002)"
"5102_rbf","0.016(0.0036)","0.0151(0.0038)","0.0165(0.0035)","0.0144(0.0028)","0.0147(0.0015)","0.0143(0.0013)"
"5102_lkflag","0.0068(0.0021)","0.0114(0.0032)","0.0128(0.0019)","0.0139(0.0023)","0.0156(0.002)","0.0152(9e-04)"
"5201_rbf","0.0184(0.0041)","0.0165(0.0031)","0.0159(0.0025)","0.0141(0.0012)","0.0141(0.0014)","0.0136(0.0012)"
"5201_lkflag","0.0048(0.0015)","0.0088(0.0016)","0.0097(0.001)","0.01(9e-04)","0.0108(0.001)","0.0112(5e-04)"
"5202_rbf","0.0087(0.0028)","0.0077(0.0018)","0.007(0.0012)","0.0066(0.0012)","0.0063(0.001)","0.0056(5e-04)"
"5202_lkflag","0.0035(0.0012)","0.006(0.001)","0.0068(0.0011)","0.0075(0.0011)","0.0076(0.001)","0.0078(7e-04)"
"5301_rbf","0.0085(0.002)","0.0078(0.002)","0.0063(0.0011)","0.0058(9e-04)","0.0057(0.0012)","0.0059(0.0012)"
"5301_lkflag","0.0036(0.0019)","0.0049(0.001)","0.0069(0.0012)","0.0068(0.001)","0.0077(0.001)","0.0079(0.001)"
"5302_rbf","0.0146(0.0072)","0.0131(0.0029)","0.013(0.0031)","0.0113(0.0021)","0.011(0.0018)","0.011(0.0012)"
"5302_lkflag","0.0053(0.0042)","0.0122(0.0026)","0.0143(0.0028)","0.013(0.0021)","0.0149(0.0021)","0.0149(0.0029)"
"5401_rbf","0.0179(0.0048)","0.0164(0.0021)","0.0164(0.0024)","0.0157(0.0017)","0.0159(0.0018)","0.0151(0.0018)"
"5401_lkflag","0.0056(0.0023)","0.0124(0.0018)","0.0144(0.0018)","0.0152(0.0013)","0.0157(0.001)","0.0151(0.0016)"
"5402_rbf","0.0299(0.0059)","0.0247(0.0046)","0.0253(0.0015)","0.0233(0.0015)","0.0239(0.0015)","0.0244(0.0017)"
"5402_lkflag","0.0091(0.0021)","0.0165(0.0018)","0.0194(0.0024)","0.02(0.0016)","0.0213(0.002)","0.0221(0.0019)"
"6001_rbf","0.0071(0.0014)","0.0072(5e-04)","0.0072(7e-04)","0.007(6e-04)","0.0065(4e-04)","0.0066(4e-04)"
"6001_lkflag","0.0021(6e-04)","0.0039(3e-04)","0.0043(4e-04)","0.005(5e-04)","0.005(4e-04)","0.0052(4e-04)"
"6002_rbf","0.007(9e-04)","0.0068(5e-04)","0.0065(8e-04)","0.0063(6e-04)","0.0058(4e-04)","0.0062(6e-04)"
"6002_lkflag","0.0018(4e-04)","0.0036(3e-04)","0.0043(2e-04)","0.0044(4e-04)","0.0046(3e-04)","0.0046(3e-04)"
"6101_rbf","0.0162(0.0036)","0.0153(0.0019)","0.016(0.002)","0.0157(0.0015)","0.0152(0.0021)","0.0155(0.0015)"
"6101_lkflag","0.0051(0.0023)","0.011(0.0019)","0.0132(0.0017)","0.0132(0.0014)","0.0147(0.0017)","0.0149(0.0016)"
"6102_rbf","0.0166(0.0058)","0.0141(0.0027)","0.0152(0.003)","0.0139(0.0029)","0.0124(0.0014)","0.0112(0.0022)"
"6102_lkflag","0.0052(0.0028)","0.0109(0.0025)","0.0134(0.0033)","0.0137(0.0019)","0.0146(0.0015)","0.0135(0.0021)"
"6201_rbf","0.0117(0.0028)","0.0108(8e-04)","0.0101(0.0013)","0.0105(0.0013)","0.0107(0.0015)","0.0096(9e-04)"
"6201_lkflag","0.0032(0.0011)","0.0061(0.001)","0.0067(8e-04)","0.0076(8e-04)","0.0081(0.001)","0.0072(7e-04)"
"6202_rbf","0.0041(0.0018)","0.0039(9e-04)","0.0033(7e-04)","0.0033(6e-04)","0.0027(5e-04)","0.003(4e-04)"
"6202_lkflag","0.0015(6e-04)","0.003(6e-04)","0.0033(6e-04)","0.0037(6e-04)","0.0032(4e-04)","0.0038(2e-04)"
"6211_rbf","0.005(8e-04)","0.0056(0.0017)","0.0049(0.0011)","0.0045(9e-04)","0.005(8e-04)","0.0044(6e-04)"
"6211_lkflag","0.002(7e-04)","0.0051(0.0012)","0.0055(9e-04)","0.0061(0.0013)","0.0063(7e-04)","0.006(6e-04)"
"6212_rbf","0.0019(5e-04)","0.0019(3e-04)","0.002(3e-04)","0.0021(1e-04)","0.0021(1e-04)","0.0019(2e-04)"
"6212_lkflag","7e-04(2e-04)","0.0013(2e-04)","0.0017(2e-04)","0.002(1e-04)","0.0022(2e-04)","0.0021(2e-04)"
"6221_rbf","0.007(0.002)","0.0061(0.0021)","0.005(0.0011)","0.0051(7e-04)","0.005(7e-04)","0.0044(7e-04)"
"6221_lkflag","0.0031(0.0013)","0.0063(0.0018)","0.0066(0.001)","0.0074(5e-04)","0.0074(9e-04)","0.0072(9e-04)"
"6222_rbf","0.0076(0.0021)","0.0064(0.0014)","0.0057(0.0013)","0.0057(7e-04)","0.0053(0.001)","0.0052(6e-04)"
"6222_lkflag","0.0027(9e-04)","0.0051(0.001)","0.0056(0.0011)","0.0067(7e-04)","0.0066(6e-04)","0.0069(9e-04)"
"6301_rbf","0.031(0.008)","0.0325(0.0036)","0.0282(0.0025)","0.0303(0.0018)","0.0279(0.0037)","0.0276(0.0017)"
"6301_lkflag","0.0077(0.002)","0.0148(0.002)","0.0167(0.0023)","0.0178(0.0018)","0.0182(0.0011)","0.0184(0.0019)"
"6302_rbf","0.0177(0.004)","0.0186(0.0032)","0.0185(0.0024)","0.0182(0.0011)","0.0168(0.0013)","0.0171(0.0015)"
"6302_lkflag","0.007(0.003)","0.012(0.002)","0.0145(0.0031)","0.0155(0.0015)","0.0149(8e-04)","0.0155(0.0015)"
"6401_rbf","0.0105(0.0037)","0.0079(0.0024)","0.008(0.0012)","0.0064(0.0016)","0.0065(0.0012)","0.0058(9e-04)"
"6401_lkflag","0.0031(0.0016)","0.0063(0.0019)","0.007(0.0019)","0.0075(0.0017)","0.0078(0.0018)","0.0077(0.0013)"
"6402_rbf","0.0071(0.0018)","0.0061(0.0017)","0.0065(0.0014)","0.0059(0.0012)","0.0047(9e-04)","0.0052(5e-04)"
