"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0185(7e-04)","0.0323(4e-04)",1.2324,"0.0172(3e-04)","0.0255(4e-04)",1.9192,"0.0163(2e-04)","0.0221(3e-04)",2.9263,"0.0156(4e-04)","0.0202(3e-04)",4.1798,"0.015(3e-04)","0.0188(2e-04)",8.1536,"0.0145(2e-04)","0.0178(2e-04)",9.6251
"LKFLAG","0.0061(4e-04)","0.1202(0.0129)",0.0477,"0.0113(3e-04)","0.0314(0.0023)",0.049,"0.0132(4e-04)","0.0225(8e-04)",0.0501,"0.0143(2e-04)","0.0213(0.0018)",0.0545,"0.0147(2e-04)","0.0196(3e-04)",0.0961,"0.015(2e-04)","0.0191(2e-04)",0.0752
"Act RBF","0.1079(0.0048)","0.1911(0.0097)",0,"0.0986(0.0042)","0.1429(0.0063)",0,"0.0869(0.0028)","0.1178(0.0035)",0,"0.0829(0.0043)","0.1064(0.0032)",0,"0.0771(0.0026)","0.0958(0.0033)",0,"0.0739(0.0017)","0.0899(0.0036)",0
"Act LK","0.0202(0.0039)","0.2191(0.0574)",0,"0.0405(0.0036)","0.0936(0.0038)",0,"0.0489(0.0031)","0.0799(0.0043)",0,"0.0549(0.0031)","0.0759(0.0025)",0,"0.0562(0.0022)","0.0743(0.0014)",0,"0.0587(0.0027)","0.0737(0.0025)",0
