"","5000","10000","15000","20000","25000","30000"
"2502_rbf","0.034(0.0157)","0.0286(0.0129)","0.0212(0.0069)","0.0235(0.0081)","0.0196(0.0042)","0.0188(0.0051)"
"2502_lkflag","0.0248(0.0185)","0.0389(0.0155)","0.0388(0.0073)","0.0407(0.0127)","0.0377(0.0081)","0.0398(0.0092)"
"2601_rbf","0.0415(0.0104)","0.0464(0.0048)","0.0417(0.0036)","0.0417(0.0046)","0.0408(0.0035)","0.04(0.0034)"
"2601_lkflag","0.0119(0.005)","0.0212(0.0028)","0.0222(0.0031)","0.0253(0.0027)","0.0253(0.0023)","0.0279(0.0031)"
"2602_rbf","0.0219(0.0057)","0.0226(0.0042)","0.0216(0.0038)","0.0194(0.0035)","0.0191(0.0023)","0.0199(0.0016)"
"2602_lkflag","0.0075(0.0025)","0.013(0.0022)","0.0136(0.0021)","0.0144(0.0023)","0.0136(0.0017)","0.0155(0.002)"
"2611_rbf","0.0311(0.0089)","0.0245(0.0071)","0.027(0.0068)","0.0249(0.004)","0.023(0.0026)","0.0228(0.0048)"
"2611_lkflag","0.0202(0.0081)","0.0278(0.0105)","0.0361(0.0072)","0.041(0.0056)","0.0376(0.0024)","0.0375(0.0037)"
"2612_rbf","0.0294(0.0168)","0.025(0.007)","0.0269(0.0043)","0.0249(0.0075)","0.0254(0.0051)","0.0245(0.0032)"
"2612_lkflag","0.0098(0.0057)","0.0247(0.0052)","0.0281(0.0055)","0.0287(0.0078)","0.0317(0.0059)","0.0324(0.0047)"
"2701_rbf","0.073(0.0152)","0.0608(0.0135)","0.0534(0.0106)","0.0491(0.0106)","0.0472(0.0087)","0.0431(0.0069)"
"2701_lkflag","0.0226(0.0108)","0.0486(0.0117)","0.0614(0.0095)","0.0679(0.0081)","0.0626(0.0087)","0.0649(0.0069)"
"2702_rbf","0.0902(0.0216)","0.0956(0.0363)","0.1066(0.0287)","0.1031(0.0233)","0.093(0.0243)","0.1017(0.0148)"
"2702_lkflag","0.0606(0.0542)","0.0859(0.0334)","0.0903(0.0262)","0.0893(0.0161)","0.0955(0.0211)","0.1141(0.0151)"
"3001_rbf","0.0228(0.0049)","0.0173(0.0025)","0.0149(0.0029)","0.0152(0.0019)","0.0142(0.0016)","0.0137(0.0019)"
"3001_lkflag","0.0062(0.0026)","0.0114(0.0022)","0.0136(0.0019)","0.0147(0.0016)","0.0153(0.0015)","0.0152(0.001)"
