"","5000","10000","15000","20000","25000","30000"
"2001_rbf","0.008(0.0014)","0.0084(0.0013)","0.0066(0.0011)","0.0073(7e-04)","0.0065(9e-04)","0.0069(0.0011)"
"2001_lkflag","0.0019(6e-04)","0.0038(8e-04)","0.0044(5e-04)","0.0052(5e-04)","0.0052(5e-04)","0.0051(5e-04)"
"2002_rbf","0.0067(0.002)","0.0068(0.0011)","0.0057(5e-04)","0.0057(6e-04)","0.0056(0.001)","0.0054(5e-04)"
"2002_lkflag","0.002(8e-04)","0.0037(0.001)","0.0036(3e-04)","0.0042(6e-04)","0.0046(4e-04)","0.0048(5e-04)"
"2101_rbf","0.014(0.0031)","0.0131(8e-04)","0.0146(8e-04)","0.0141(0.001)","0.0135(0.0013)","0.0138(5e-04)"
"2101_lkflag","0.0044(0.0011)","0.0077(5e-04)","0.0093(6e-04)","0.0103(5e-04)","0.0099(9e-04)","0.0102(6e-04)"
"2102_rbf","0.0213(0.0051)","0.0218(0.0032)","0.0201(0.0024)","0.0206(0.0015)","0.0201(0.0012)","0.0199(8e-04)"
"2102_lkflag","0.0051(0.0014)","0.0115(0.0012)","0.0112(0.0017)","0.0123(9e-04)","0.013(0.001)","0.0132(0.001)"
"2111_rbf","0.0201(0.0063)","0.022(0.0074)","0.0245(0.0092)","0.0198(0.004)","0.02(0.0048)","0.0185(0.0041)"
"2111_lkflag","0.007(0.0039)","0.0172(0.0037)","0.0218(0.0044)","0.0222(0.0037)","0.0223(0.0027)","0.0217(0.0027)"
"2112_rbf","0.0314(0.0129)","0.0285(0.0048)","0.0231(0.0059)","0.0234(0.0046)","0.0226(0.0032)","0.021(0.0022)"
"2112_lkflag","0.0156(0.0066)","0.028(0.0098)","0.0289(0.0063)","0.0318(0.0057)","0.0337(0.0059)","0.0347(0.0063)"
"2201_rbf","0.0224(0.0035)","0.0207(0.0015)","0.0191(0.0023)","0.0189(0.0018)","0.0188(0.0011)","0.0194(0.002)"
"2201_lkflag","0.0055(0.002)","0.0088(0.0014)","0.0104(0.001)","0.0109(6e-04)","0.0109(7e-04)","0.0118(0.0012)"
"2202_rbf","0.0217(0.0049)","0.02(0.0019)","0.0207(0.0016)","0.0198(0.0018)","0.0184(0.001)","0.0189(8e-04)"
"2202_lkflag","0.0046(0.001)","0.0089(9e-04)","0.0105(7e-04)","0.011(6e-04)","0.011(6e-04)","0.0112(4e-04)"
"2211_rbf","0.0133(0.0043)","0.012(0.0031)","0.0121(0.0027)","0.0099(0.0019)","0.0111(0.0023)","0.0095(0.0017)"
"2211_lkflag","0.007(0.0028)","0.0108(0.0018)","0.0136(0.0037)","0.0139(0.0033)","0.0158(0.0019)","0.0159(0.0023)"
"2212_rbf","0.0252(0.0047)","0.024(0.007)","0.025(0.0098)","0.0186(0.0039)","0.0178(0.0028)","0.0146(0.0041)"
"2212_lkflag","0.0111(0.0047)","0.0298(0.01)","0.0306(0.0087)","0.032(0.0043)","0.0346(0.0037)","0.036(0.0039)"
"2301_rbf","0.015(0.0036)","0.0113(0.0031)","0.012(0.0021)","0.0098(0.0022)","0.0093(0.0012)","0.0084(0.0015)"
"2301_lkflag","0.0072(0.0026)","0.0136(0.0033)","0.0152(0.0027)","0.0159(0.0026)","0.0156(0.0021)","0.0164(0.002)"
"2302_rbf","0.0122(0.0029)","0.0115(0.0039)","0.0098(0.0017)","0.0111(0.0026)","0.0092(0.0024)","0.0097(0.0014)"
"2302_lkflag","0.0047(0.0013)","0.0084(0.0023)","0.0087(0.0013)","0.009(0.0017)","0.009(0.0011)","0.0106(8e-04)"
"2311_rbf","0.0166(0.0043)","0.013(0.0023)","0.0112(0.0021)","0.0116(0.0012)","0.0109(8e-04)","0.0091(0.001)"
