"","5000","10000","15000","20000","25000","30000"
"2001_rbf","0.0133(0.0037)","0.0123(0.0027)","0.012(0.0018)","0.011(0.0019)","0.0108(0.0012)","0.0108(0.0011)"
"2001_lkflag","0.0043(0.0017)","0.0074(0.002)","0.0085(8e-04)","0.0086(0.0012)","0.0092(9e-04)","0.0095(9e-04)"
"2002_rbf","0.0085(0.0038)","0.0072(0.0016)","0.0078(0.0019)","0.0062(7e-04)","0.0065(7e-04)","0.0058(4e-04)"
"2002_lkflag","0.0022(9e-04)","0.0049(0.0014)","0.0063(0.002)","0.0066(0.0012)","0.007(0.001)","0.0069(9e-04)"
"2101_rbf","0.0211(0.003)","0.0228(0.0023)","0.022(0.0025)","0.0212(0.0013)","0.0211(0.0013)","0.0209(0.001)"
"2101_lkflag","0.0047(0.0014)","0.0093(0.0016)","0.0118(0.0014)","0.0125(8e-04)","0.0124(0.001)","0.0132(9e-04)"
"2102_rbf","0.0388(0.0074)","0.0351(0.0035)","0.0336(0.0048)","0.0349(0.0039)","0.033(0.0028)","0.0332(0.0023)"
"2102_lkflag","0.0086(0.002)","0.0141(0.003)","0.0167(0.0015)","0.0186(0.002)","0.0178(0.0017)","0.0186(0.0014)"
"2111_rbf","0.0398(0.0125)","0.034(0.006)","0.0375(0.0102)","0.0321(0.0074)","0.0328(0.0059)","0.0335(0.0037)"
"2111_lkflag","0.0191(0.0112)","0.0332(0.0073)","0.0399(0.0078)","0.0444(0.0045)","0.0444(0.0035)","0.0468(0.0048)"
"2112_rbf","0.0312(0.0116)","0.0336(0.0091)","0.0295(0.0045)","0.0291(0.004)","0.0282(0.0043)","0.0272(0.0056)"
"2112_lkflag","0.0168(0.0064)","0.025(0.0061)","0.0318(0.0067)","0.0343(0.0058)","0.0349(0.0071)","0.0353(0.0034)"
"2201_rbf","0.0376(0.0062)","0.034(0.0018)","0.0344(0.0039)","0.0326(0.0026)","0.0309(0.0022)","0.032(0.0021)"
"2201_lkflag","0.0084(8e-04)","0.0168(0.0019)","0.0192(0.0022)","0.0199(0.0012)","0.0203(0.0012)","0.0218(9e-04)"
"2202_rbf","0.0409(0.0091)","0.0416(0.0036)","0.0409(0.0036)","0.0389(0.0032)","0.0397(0.0021)","0.0381(0.0022)"
"2202_lkflag","0.0095(0.0031)","0.0176(0.0023)","0.0213(0.0021)","0.023(0.0017)","0.0235(0.0011)","0.0232(0.0015)"
"2211_rbf","0.0303(0.0117)","0.0219(0.0077)","0.0176(0.0057)","0.0187(0.0051)","0.0166(0.0036)","0.0151(0.0032)"
"2211_lkflag","0.0141(0.0088)","0.0241(0.0072)","0.0234(0.0052)","0.031(0.007)","0.0295(0.0063)","0.0285(0.0048)"
"2212_rbf","0.0217(0.008)","0.019(0.0047)","0.0178(0.0039)","0.0172(0.0031)","0.0135(0.004)","0.0138(0.0043)"
"2212_lkflag","0.0096(0.0034)","0.0196(0.0037)","0.0237(0.004)","0.025(0.0038)","0.0246(0.0045)","0.0254(0.0037)"
"2301_rbf","0.0215(0.0066)","0.0212(0.0053)","0.0185(0.0036)","0.0175(0.0044)","0.0182(0.0023)","0.0168(0.0027)"
"2301_lkflag","0.0115(0.0083)","0.023(0.0062)","0.0285(0.0075)","0.032(0.0068)","0.0336(0.0076)","0.0341(0.0044)"
"2302_rbf","0.041(0.0108)","0.0351(0.0082)","0.0278(0.0085)","0.0245(0.0038)","0.0278(0.0058)","0.0231(0.004)"
"2302_lkflag","0.0195(0.0086)","0.0314(0.006)","0.032(0.0045)","0.0318(0.0041)","0.0353(0.0051)","0.0358(0.0036)"
"2311_rbf","0.0234(0.0041)","0.0148(0.0028)","0.0153(0.0025)","0.0131(0.0024)","0.0134(0.0014)","0.0128(0.0016)"
"2311_lkflag","0.0075(0.0022)","0.0096(0.0017)","0.014(0.0022)","0.0133(0.0019)","0.0151(0.0021)","0.0153(0.0012)"
"2312_rbf","0.032(0.0065)","0.0233(0.0057)","0.0171(0.0036)","0.0167(0.0027)","0.0131(0.0019)","0.0141(0.0038)"
"2312_lkflag","0.0105(0.0036)","0.0181(0.0049)","0.0189(0.003)","0.0191(0.0035)","0.019(0.0033)","0.0217(0.0024)"
"2321_rbf","0.0167(0.0043)","0.0139(0.0031)","0.0146(0.0022)","0.0144(0.0029)","0.0127(0.0021)","0.0128(0.002)"
"2321_lkflag","0.007(0.0028)","0.0123(0.0025)","0.0135(0.0017)","0.015(0.0022)","0.0167(0.0017)","0.0161(0.0021)"
"2322_rbf","0.0193(0.0059)","0.0191(0.0023)","0.0147(0.0024)","0.0153(0.0028)","0.0152(0.0026)","0.013(0.0023)"
"2322_lkflag","0.0053(0.0016)","0.0143(0.0022)","0.0157(0.0031)","0.017(0.0022)","0.0174(0.0018)","0.0175(0.0019)"
"2331_rbf","0.0097(0.0027)","0.0107(0.0028)","0.0091(0.0017)","0.0096(0.002)","0.0083(0.0018)","0.0078(0.0014)"
"2331_lkflag","0.0053(0.003)","0.0101(0.0022)","0.0104(0.0018)","0.0119(0.0026)","0.0119(0.0027)","0.0116(0.0014)"
"2332_rbf","0.0063(0.0016)","0.0078(0.0025)","0.0074(0.0016)","0.0061(0.0011)","0.0065(7e-04)","0.0061(6e-04)"
"2332_lkflag","0.0026(0.0011)","0.0071(0.0023)","0.0075(0.0021)","0.0072(0.0017)","0.0086(0.0016)","0.009(0.0014)"
"2401_rbf","0.0251(0.004)","0.0227(0.0062)","0.0205(0.0028)","0.0193(0.0042)","0.0192(0.0016)","0.0179(0.0024)"
"2401_lkflag","0.0067(0.002)","0.0116(0.0022)","0.013(0.0019)","0.0143(0.0021)","0.0154(0.0024)","0.0149(0.0019)"
"2402_rbf","0.018(0.0049)","0.0167(0.0032)","0.0157(0.0025)","0.0153(0.0031)","0.0151(0.0014)","0.0146(0.0019)"
"2402_lkflag","0.0061(0.0021)","0.0097(0.0016)","0.0121(0.0013)","0.012(0.0014)","0.0125(0.0016)","0.013(0.0011)"
"2501_rbf","0.0195(0.0085)","0.0142(0.0044)","0.0152(0.0031)","0.0155(0.0057)","0.0107(0.0028)","0.0105(0.0032)"
"2501_lkflag","0.0071(0.007)","0.0209(0.0117)","0.0225(0.0058)","0.026(0.0096)","0.0236(0.0056)","0.0237(0.0049)"
"2502_rbf","0.0235(0.0067)","0.0237(0.0093)","0.0176(0.0079)","0.0125(0.0036)","0.0126(0.0038)","0.0138(0.0046)"
"2502_lkflag","0.007(0.0088)","0.0249(0.011)","0.0272(0.0081)","0.0269(0.0079)","0.032(0.0051)","0.0337(0.0067)"
"2601_rbf","0.0264(0.0071)","0.0251(0.0025)","0.0235(0.0025)","0.0231(0.0016)","0.0226(0.0013)","0.0218(0.0015)"
"2601_lkflag","0.0075(0.0033)","0.0138(0.0033)","0.0159(0.0012)","0.0162(0.0013)","0.0169(9e-04)","0.0175(0.0017)"
"2602_rbf","0.0183(0.0049)","0.0173(0.0025)","0.0171(0.0013)","0.017(0.0022)","0.0165(0.0016)","0.0163(0.0017)"
"2602_lkflag","0.0058(0.0019)","0.0107(0.0014)","0.0116(9e-04)","0.014(0.0018)","0.014(8e-04)","0.0145(0.0012)"
"2611_rbf","0.0469(0.0094)","0.0449(0.0091)","0.0381(0.0107)","0.0437(0.0125)","0.0362(0.0112)","0.0363(0.0061)"
"2611_lkflag","0.0151(0.0078)","0.0318(0.0074)","0.0379(0.0064)","0.0457(0.0136)","0.0473(0.0078)","0.0447(0.0053)"
"2612_rbf","0.0417(0.0132)","0.0355(0.0037)","0.0399(0.0078)","0.034(0.0067)","0.0351(0.0083)","0.03(0.0047)"
"2612_lkflag","0.0132(0.0039)","0.0264(0.0064)","0.0325(0.0046)","0.0362(0.0073)","0.0345(0.0065)","0.0344(0.0046)"
"2701_rbf","0.0316(0.0145)","0.0254(0.0065)","0.0245(0.0057)","0.0196(0.0033)","0.0227(0.0043)","0.0206(0.0027)"
"2701_lkflag","0.0119(0.0115)","0.0261(0.0093)","0.025(0.0078)","0.0211(0.0048)","0.0261(0.0042)","0.027(0.005)"
"2702_rbf","0.0359(0.0077)","0.0364(0.0116)","0.0332(0.0077)","0.0271(0.0051)","0.0284(0.0063)","0.0262(0.0057)"
"2702_lkflag","0.0092(0.0043)","0.0222(0.0054)","0.0286(0.0057)","0.0292(0.004)","0.0328(0.0063)","0.0288(0.0058)"
"3001_rbf","0.0217(0.006)","0.0205(0.0024)","0.0206(0.0037)","0.0211(0.003)","0.0184(0.0021)","0.0169(0.0031)"
"3001_lkflag","0.0078(0.0022)","0.013(0.0022)","0.0146(0.0021)","0.0152(0.0016)","0.0164(0.0015)","0.0163(0.0016)"
"3002_rbf","0.0217(0.0064)","0.0216(0.0028)","0.0201(0.002)","0.0193(0.0023)","0.0183(0.0027)","0.0164(0.0018)"
"3002_lkflag","0.0073(0.0034)","0.0139(0.0027)","0.0156(0.002)","0.0152(0.002)","0.0168(0.0026)","0.0165(0.0021)"
"4001_rbf","0.0283(0.0078)","0.022(0.0051)","0.0218(0.0035)","0.0204(0.0051)","0.0212(0.0038)","0.0195(0.0029)"
"4001_lkflag","0.0098(0.0043)","0.0164(0.0026)","0.0192(0.0015)","0.0217(0.0027)","0.0212(0.0034)","0.0208(0.0016)"
"4002_rbf","0.0172(0.0055)","0.0164(0.0023)","0.0166(0.0034)","0.0157(0.0023)","0.0142(0.0017)","0.0157(0.0022)"
"4002_lkflag","0.0078(0.004)","0.0138(0.0031)","0.0161(0.0027)","0.0169(0.0024)","0.0183(0.0019)","0.0193(0.0022)"
"4011_rbf","0.0307(0.0105)","0.0256(0.0037)","0.0221(0.0031)","0.0232(0.0033)","0.0219(0.0025)","0.0204(0.0022)"
"4011_lkflag","0.0058(0.0026)","0.0139(0.0026)","0.0135(0.0026)","0.015(0.003)","0.0177(0.0023)","0.016(0.0018)"
"4012_rbf","0.0292(0.0065)","0.0308(0.0052)","0.0281(0.0058)","0.0273(0.003)","0.0263(0.0027)","0.0269(0.0033)"
"4012_lkflag","0.0063(0.0026)","0.011(0.0018)","0.0129(0.0017)","0.0149(0.0024)","0.0145(0.0013)","0.015(0.0018)"
"4021_rbf","0.019(0.0093)","0.0149(0.0056)","0.014(0.0043)","0.0108(0.0026)","0.0092(0.0025)","0.0075(0.0012)"
"4021_lkflag","0.0086(0.0109)","0.0166(0.0079)","0.0194(0.0057)","0.0192(0.0047)","0.0213(0.0036)","0.0197(0.0048)"
"4022_rbf","0.0109(0.0071)","0.0069(0.0035)","0.0075(0.0021)","0.007(0.0023)","0.0061(0.0017)","0.0068(0.0014)"
"4022_lkflag","0.006(0.0056)","0.0085(0.0033)","0.0124(0.0039)","0.0107(0.0031)","0.0131(0.003)","0.0134(0.0014)"
"4101_rbf","0.0124(0.0025)","0.0109(0.0027)","0.0097(0.0026)","0.0101(0.0024)","0.009(0.0016)","0.0088(0.0017)"
"4101_lkflag","0.0062(0.0037)","0.0101(0.0029)","0.0113(0.002)","0.0134(0.0014)","0.0134(0.0015)","0.0148(0.0016)"
"4102_rbf","0.0074(0.0017)","0.0112(0.0032)","0.0094(0.0032)","0.0087(0.0021)","0.0097(0.0022)","0.0085(0.0016)"
"4102_lkflag","0.0039(0.0014)","0.0095(0.0024)","0.0102(0.002)","0.0113(0.002)","0.0113(0.0014)","0.0125(0.0016)"
"4111_rbf","0.0139(0.0051)","0.0112(0.0037)","0.0139(0.004)","0.0148(0.0039)","0.011(0.0017)","0.0116(0.0016)"
"4111_lkflag","0.0071(0.0032)","0.0144(0.0051)","0.0155(0.0035)","0.0161(0.0028)","0.0148(0.0018)","0.0157(0.0015)"
"4112_rbf","0.0165(0.0045)","0.0158(0.0036)","0.0159(0.0033)","0.0164(0.002)","0.0146(0.0035)","0.0151(0.0021)"
"4112_lkflag","0.0063(0.0016)","0.0142(0.0044)","0.0165(0.0031)","0.0181(0.0016)","0.0189(0.0024)","0.0191(0.0017)"
"4201_rbf","0.0167(0.013)","0.0142(0.0061)","0.013(0.0051)","0.0104(0.0038)","0.0087(0.0027)","0.009(0.0027)"
