"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0161(8e-04)","0.028(4e-04)",1.2279,"0.0149(7e-04)","0.0222(5e-04)",1.9872,"0.0139(4e-04)","0.0194(5e-04)",3.0333,"0.0132(3e-04)","0.0176(4e-04)",6.327,"0.0127(3e-04)","0.0163(4e-04)",9.2013,"0.0124(2e-04)","0.0153(3e-04)",9.3877
"LKFLAG","0.0062(7e-04)","0.1091(0.0149)",0.0483,"0.0108(6e-04)","0.0309(0.0074)",0.0376,"0.0129(5e-04)","0.0219(9e-04)",0.0385,"0.0135(5e-04)","0.0192(5e-04)",0.0602,"0.0139(4e-04)","0.0186(4e-04)",0.0606,"0.0143(2e-04)","0.0178(3e-04)",0.0628
"Act RBF","0.1044(0.0111)","0.1964(0.0082)",0,"0.0935(0.0103)","0.1465(0.0071)",0,"0.0834(0.0061)","0.1218(0.01)",0,"0.0751(0.0036)","0.1041(0.0058)",0,"0.0708(0.003)","0.0942(0.0061)",0,"0.0671(0.0028)","0.0848(0.0059)",0
"Act LK","0.036(0.0121)","0.2612(0.0539)",0,"0.0564(0.0115)","0.1323(0.0246)",0,"0.0731(0.0076)","0.1155(0.0096)",0,"0.075(0.0072)","0.1025(0.0065)",0,"0.0782(0.0042)","0.1008(0.0071)",0,"0.0808(0.0049)","0.0982(0.0078)",0
