"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0174(6e-04)","0.0297(3e-04)",1.1037,"0.016(4e-04)","0.023(3e-04)",8.7719,"0.0151(5e-04)","0.0202(2e-04)",7.5037,"0.0144(3e-04)","0.0185(2e-04)",5.8002,"0.0139(2e-04)","0.0172(2e-04)",7.7533,"0.0134(2e-04)","0.0162(2e-04)",7.6722
"LKFLAG","0.0054(2e-04)","0.1163(0.0165)",0.0428,"0.0102(3e-04)","0.0269(0.0023)",0.3227,"0.0118(3e-04)","0.0202(0.0016)",0.0467,"0.0125(2e-04)","0.0179(2e-04)",0.065,"0.0131(2e-04)","0.0171(2e-04)",0.2022,"0.0132(1e-04)","0.0172(0.0014)",0.0502
"Act RBF","0.0981(0.0073)","0.1647(0.0057)",0,"0.0829(0.0047)","0.1175(0.005)",0,"0.0791(0.0039)","0.1028(0.0031)",0,"0.072(0.003)","0.0898(0.0026)",0,"0.0688(0.0016)","0.0834(0.0021)",0,"0.0659(0.0027)","0.0763(0.0016)",0
"Act LK","0.0178(0.0021)","0.1799(0.0442)",0,"0.0352(0.0032)","0.0741(0.0064)",0,"0.0434(0.0033)","0.0658(0.0025)",0,"0.046(0.0016)","0.0619(0.0018)",0,"0.0476(0.0026)","0.0605(0.002)",0,"0.0484(0.0014)","0.059(0.0016)",0
