"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0107(4e-04)","0.0181(3e-04)",1.075,"0.0102(3e-04)","0.0146(2e-04)",1.9675,"0.0096(2e-04)","0.013(2e-04)",3.4017,"0.0093(1e-04)","0.0119(2e-04)",4.4887,"0.0089(1e-04)","0.0111(1e-04)",9.9523,"0.0088(1e-04)","0.0106(1e-04)",9.4365
"LKFLAG","0.0034(2e-04)","0.081(0.0093)",0.0565,"0.0067(2e-04)","0.0176(0.0014)",0.0579,"0.0077(2e-04)","0.0134(0.0012)",0.1437,"0.0082(1e-04)","0.0122(0.001)",0.0947,"0.0085(1e-04)","0.0112(2e-04)",0.0639,"0.0087(1e-04)","0.0109(1e-04)",0.0653
"Act RBF","0.0526(0.0027)","0.0916(0.0029)",0,"0.0492(0.0026)","0.0703(0.0028)",0,"0.045(0.0014)","0.061(0.0016)",0,"0.0421(8e-04)","0.0543(0.002)",0,"0.0404(0.0013)","0.0499(9e-04)",0,"0.0389(8e-04)","0.0463(0.0011)",0
"Act LK","0.0094(0.0011)","0.1384(0.0254)",0,"0.0211(0.0016)","0.0474(0.0057)",0,"0.0254(0.0013)","0.0403(0.0019)",0,"0.0278(0.001)","0.039(0.0014)",0,"0.0291(0.0012)","0.0377(0.001)",0,"0.0299(8e-04)","0.0366(6e-04)",0
