"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0144(5e-04)","0.0251(3e-04)",1.0598,"0.0141(3e-04)","0.0207(3e-04)",10.524,"0.0135(4e-04)","0.0186(3e-04)",9.3285,"0.0132(3e-04)","0.0171(2e-04)",5.3603,"0.0128(2e-04)","0.0161(2e-04)",6.4657,"0.0126(2e-04)","0.0153(1e-04)",8.005
"LKFLAG","0.0054(1e-04)","0.1046(0.0152)",0.0569,"0.0103(2e-04)","0.028(0.0038)",0.0848,"0.0118(2e-04)","0.0198(6e-04)",0.1649,"0.0126(2e-04)","0.018(4e-04)",0.1672,"0.0131(2e-04)","0.0171(2e-04)",0.0957,"0.0136(1e-04)","0.0168(2e-04)",0.068
"Act RBF","0.0814(0.0057)","0.1513(0.0063)",0,"0.0765(0.0041)","0.1174(0.0041)",0,"0.0704(0.0027)","0.0999(0.0029)",0,"0.0654(0.0024)","0.0886(0.0025)",0,"0.0633(0.0023)","0.0819(0.0027)",0,"0.06(0.0016)","0.0747(0.0013)",0
"Act LK","0.0181(0.0021)","0.222(0.062)",0,"0.041(0.0028)","0.0932(0.0072)",0,"0.0504(0.0018)","0.081(0.0049)",0,"0.0524(0.0017)","0.0737(0.003)",0,"0.0569(0.0025)","0.0737(0.0025)",0,"0.0601(0.0026)","0.0729(0.0026)",0
