"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0192(7e-04)","0.0332(5e-04)",1.4239,"0.0179(5e-04)","0.0264(3e-04)",2.0182,"0.0169(3e-04)","0.023(4e-04)",3.0522,"0.0162(3e-04)","0.0208(3e-04)",4.1826,"0.0155(2e-04)","0.0193(1e-04)",5.9935,"0.015(2e-04)","0.0182(3e-04)",7.2176
"LKFLAG","0.0063(3e-04)","0.1261(0.0213)",0.1054,"0.0114(3e-04)","0.0305(0.0015)",0.0515,"0.0133(3e-04)","0.0227(8e-04)",0.0406,"0.0142(2e-04)","0.0205(8e-04)",0.15,"0.0147(2e-04)","0.0206(0.0029)",0.0773,"0.0151(2e-04)","0.0189(3e-04)",0.043
"Act RBF","0.104(0.0066)","0.1792(0.0068)",0,"0.0896(0.0063)","0.1354(0.0052)",0,"0.0815(0.0029)","0.1109(0.0054)",0,"0.0775(0.0029)","0.0989(0.0046)",0,"0.0705(0.0031)","0.0885(0.0019)",0,"0.0658(0.0023)","0.0814(0.002)",0
"Act LK","0.0183(0.002)","0.1891(0.0341)",0,"0.0349(0.0031)","0.0834(0.0051)",0,"0.0449(0.0033)","0.073(0.0033)",0,"0.0495(0.0032)","0.0678(0.0027)",0,"0.0512(0.0028)","0.0668(0.0016)",0,"0.0522(0.0022)","0.0657(0.0017)",0
