"","n = 7e+05"
"EGP",401.7
"KSVM",NA
"GLGP",NA
"sparseGLGP",NA
"Nystrom extension",1466.1
"SRFLGP",193.4
"SKFLGP",230.7
"LRFLGP",100.7
"LKFLGP",154.9
