"","n = 7e+05"
"EGP","33.9(3.5)"
"KSVM","NA(NA)"
"GLGP","NA(NA)"
"sparseGLGP","NA(NA)"
"Nystrom extension","31.7(1.9)"
"SRFLGP","20.4(1.6)"
"SKFLGP","12.6(1.6)"
"LRFLGP","22.2(1.7)"
"LKFLGP","13.1(1.9)"
