,n = 70000
EGP,2.5(0.02)
GLGP,NA(NA)
sparseGLGP,1.6(0.04)
Nystrom extension,1.7(0.03)
SRFLGP,1.7(0.03)
SKFLGP,1.5(0.02)
LRFLGP,1.7(0.03)
LKFLGP,1.5(0.03)
