"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.021(0.002)","0.022(0.001)",0.338,"0.02(0.001)","0.02(0.001)",0.477,"0.021(0.001)","0.019(0.001)",1.142,"0.02(0.001)","0.018(0.001)",4.05
"GLGP","0.007(0.001)","0.019(0.001)",68.591,"0.008(0.001)","0.015(0.001)",72.398,"0.009(0)","0.012(0)",74.206,"0.01(0)","0.011(0)",76.166
"Nystrom","0.006(0.001)","0.019(0.003)",8.065,"0.007(0)","0.014(0.001)",9.711,"0.009(0.001)","0.012(0)",11.719,"0.01(0)","0.011(0)",15.692
"LKFLGP","0.005(0.001)","0.065(0.029)",0.85,"0.008(0.001)","0.017(0.002)",1.048,"0.011(0.001)","0.012(0)",1.395,"0.012(0.001)","0.011(0)",2.121
