"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.021(0.002)","0.022(0.001)",0.469,"0.019(0.001)","0.02(0.001)",0.487,"0.019(0.001)","0.018(0.001)",1.133,"0.017(0.001)","0.017(0.001)",4.049
"GLGP","0.007(0.001)","0.018(0.001)",70.916,"0.007(0)","0.013(0.001)",70.943,"0.008(0)","0.011(0)",72.882,"0.009(0)","0.01(0)",78.176
"Nystrom","0.006(0.001)","0.017(0.001)",8.292,"0.006(0)","0.012(0.001)",9.476,"0.008(0)","0.01(0)",11.66,"0.008(0)","0.009(0)",16.403
"LKFLGP","0.004(0.001)","0.065(0.029)",0.889,"0.006(0.001)","0.013(0.001)",1.129,"0.008(0)","0.009(0)",1.49,"0.008(0)","0.009(0)",2.313
